rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,신인 그룹들의 활발한 컴백과 한정판 굿즈 수요가 맞물려 판매량이 급증하고 있습니다. 특히 포토카드는 희소성 때문에 높은 가격에 거래되며 카테고리 성장을 견인하고 있습니다.
2,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,3,5,45,"미국, 일본 등 주요 시장에서 K-뷰티의 인기가 지속되며 스킨케어 제품이 꾸준히 강세를 보이고 있습니다. 특히 기능성 세럼과 선스크린 제품의 수요가 높습니다."
3,trading-cards,수집용 트레이딩 카드,Trading Cards,red,-1,4,40,"포켓몬, 유희왕 등 한국어판 희귀 카드에 대한 해외 수집가들의 수요가 폭발적으로 증가하고 있습니다. 특히 한정 프로모션 카드는 높은 가격에 거래됩니다."
4,auto-parts,자동차 부품,Auto Parts,red,-1,4,50,전 세계적으로 노후 차량 운행이 증가하면서 한국산 자동차의 애프터마켓 부품 수요가 꾸준히 증가하고 있습니다. 특히 온라인을 통한 부품 구매가 활성화되는 추세입니다.
5,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,red,10,4,40,"쿠션 파운데이션, 립 틴트 등 K-뷰티를 대표하는 색조 제품들이 일본 시장을 중심으로 꾸준한 인기를 얻고 있습니다. 현지 인플루언서와의 협업을 통한 마케팅이 효과를 보이고 있습니다."
6,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,2,3,30,"한국의 반도체 수출 호조에 힘입어 메모리, SSD 등 핵심 컴퓨터 부품의 해외 판매가 증가하고 있습니다. 고성능 게이밍 주변기기에 대한 수요도 꾸준합니다."
7,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-1,4,35,"K-POP 아이돌의 공항 패션, 무대 의상 등이 글로벌 팬들 사이에서 화제가 되며 관련 의류 및 액세서리 판매가 증가하고 있습니다. 한정판 스니커즈 리셀 시장도 활발합니다."
8,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,5,3,55,"피부 건강과 다이어트에 초점을 맞춘 한국의 이너뷰티 제품들이 일본 시장에서 좋은 반응을 얻고 있습니다. 콜라겐, 다이어트 보조제 등의 인기가 높습니다."
9,drones,드론/액세서리,Drones & Accessories,blue,-5,3,30,"취미용 및 촬영용 드론과 관련 액세서리(배터리, 프로펠러 등)의 수출이 꾸준한 성장세를 보이고 있습니다. 한국산 제품의 기술력과 안정성이 좋은 평가를 받고 있습니다."
10,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,16,3,25,키덜트 문화 확산으로 레고 등 조립 완구 카테고리가 꾸준히 성장하고 있습니다. 특히 한국에서만 출시되는 한정판 제품이나 단종된 모델에 대한 수요가 높습니다.
11,k-food,K-푸드/스낵,K-Food & Snacks,blue,1,4,30,"K-드라마와 영화의 영향으로 떡볶이, 라면, 김 등 한국 식품에 대한 관심이 전 세계적으로 높아지고 있습니다. 간편 조리 식품과 스낵류가 특히 인기입니다."
12,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,-5,3,60,"집에서 전문적인 피부 관리를 원하는 수요가 늘면서 LED 마스크, 갈바닉 등 홈케어 뷰티 디바이스 판매가 증가하고 있습니다. 특히 일본 시장에서 성장세가 두드러집니다."
13,character-goods,캐릭터 굿즈,Character Goods,blue,-3,4,35,K-POP 아이돌과 연계된 동물 캐릭터 굿즈(SKZOO 등)가 팬덤의 강력한 지지를 받으며 높은 판매량을 기록하고 있습니다. 팝업스토어 한정 상품이 특히 인기입니다.
14,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,-5,5,40,"독특한 디자인과 K-POP, 캐릭터 IP를 활용한 한국의 스마트폰 케이스와 액세서리가 해외 소비자들에게 좋은 반응을 얻고 있습니다."
15,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,6,3,45,"스킨케어의 성공에 이어 K-헤어케어 제품들이 일본 시장에서 새로운 성장 동력으로 부상하고 있습니다. 기능성 샴푸, 트리트먼트 제품이 주목받고 있습니다."
16,auto-accessories,자동차 액세서리,Auto Accessories,blue,4,4,35,"차량용 방향제, 대시보드 커버, 스마트폰 거치대 등 한국산 자동차 액세서리가 실용성과 디자인을 바탕으로 꾸준히 판매되고 있습니다."
17,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,1,3,50,"아기자기한 디자인의 스티커, 마스킹테이프, 다이어리 등 한국 문구류가 '다꾸(다이어리 꾸미기)' 문화와 함께 해외 팬층을 확보하며 성장하고 있습니다."
18,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,-7,3,30,"웹툰, 게임 IP를 기반으로 한 한국산 피규어와 아트토이에 대한 해외 수집가들의 관심이 증가하는 추세입니다."
19,golf-gear,골프 용품,Golf Equipment,blue,-3,3,30,기능성과 패션성을 겸비한 한국 골프웨어 및 골프용품이 아시아 시장을 중심으로 인기를 얻고 있습니다.
20,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,-3,2,40,"글로벌 플랫폼을 통해 한국 웹툰의 인기가 높아지면서, 작품 관련 단행본, 아크릴 스탠드, 키링 등 굿즈 판매가 동반 상승하고 있습니다."
21,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,-2,3,35,"독특한 감성 디자인과 실용성을 갖춘 한국 캠핑 브랜드의 텐트, 의자, 랜턴 등이 해외 캠핑족들에게 주목받고 있습니다."
22,kitchen-ware,K-주방용품,Korean Kitchenware,blue,2,2,40,"K-푸드에 대한 관심이 높아지면서 뚝배기, 돌솥, 수저 세트 등 한국 전통 주방용품에 대한 수요가 함께 증가하고 있습니다."
23,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,4,2,35,"인기리에 방영된 K-드라마의 DVD, 블루레이, OST 앨범, 대본집 등이 해외 팬들을 중심으로 꾸준히 판매되고 있습니다."
24,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-10,3,30,"미니멀한 디자인의 한국 디자이너 브랜드 가방, 지갑, 벨트 등 남성 패션 잡화가 합리적인 가격으로 좋은 반응을 얻고 있습니다."
25,pet-supplies,반려동물 용품,Pet Supplies,blue,-2,3,40,"디자인과 기능성을 겸비한 한국의 반려동물 의류, 하네스, 이동 가방 등이 해외 반려인들 사이에서 입소문을 타고 있습니다."
26,fishing-gear,낚시 용품,Fishing Equipment,blue,-4,2,30,"품질 대비 가격 경쟁력이 높은 한국산 낚싯대, 릴, 루어 등이 해외 낚시 동호인들 사이에서 꾸준히 판매되고 있습니다."
27,home-decor,K-홈데코,Korean Home Decor,blue,1,2,45,"K-드라마에 등장하는 감성적인 인테리어 소품에 대한 관심이 높아지면서, 패브릭 포스터, 무드등, 디자인 시계 등의 판매가 증가하고 있습니다."
28,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,-3,2,25,"한국 e스포츠 팀들의 국제적인 활약에 힘입어, 유명 선수들의 유니폼, 마우스패드 등 관련 굿즈가 글로벌 팬들에게 판매되고 있습니다."
29,modern-hanbok,한복 모던,Modern Hanbok,blue,0,2,50,전통 한복의 아름다움을 현대적으로 재해석한 생활 한복이 특별한 날의 의상이나 여행 의상으로 해외 소비자들에게 어필하고 있습니다.
30,traditional-craft,전통 공예품,Traditional Craft,blue,0,1,65,"나전칠기 보석함, 한지 공예품 등 한국의 장인 정신이 깃든 전통 공예품이 고가의 선물이나 인테리어 소품으로 소수 마니아층에게 판매되고 있습니다."
