cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,방탄소년단 공식 응원봉,BTS Official Light Stick ARMY Bomb,Weverse Shop,65.99,28000,57,350,18314,kpop lightstick;bts merch;army bomb,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,2,블랙핑크 포토카드 세트,BLACKPINK Photo Card Set,YG SELECT,25,10500,58,80,18314,blackpink pc;kpop photocards;yg merch,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,3,NCT 앨범 포스터,NCT Album Poster,SMTOWN &STORE,15,6000,60,120,18314,nct poster;kpop poster;sm entertainment,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,4,스트레이 키즈 미니 인형,Stray Kids Mini Doll,JYP Shop,35,14000,60,200,18314,stray kids merch;kpop doll;jyp entertainment,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,5,아이브 공식 포토카드,IVE Official Photo Card,STARSHIP SQUARE,12,5000,58,50,18314,ive pc;kpop girl group;starship,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,6,세븐틴 앨범 포토북,SEVENTEEN Album Photobook,Pledis Shop,28,11500,59,300,18314,seventeen merch;kpop photobook;pledis,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,7,투모로우바이투게더 키링,TXT Keyring,Weverse Shop,20,8000,60,70,18314,txt merch;kpop keyring;bighit,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,8,뉴진스 앨범 CD,NewJeans Album CD,ADOR,30,12500,58,250,18314,newjeans album;kpop cd;ador,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,9,에스파 공식 포스터,aespa Official Poster,SMTOWN &STORE,18,7500,58,100,18314,aespa poster;kpop merch;sm entertainment,5,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,10,르세라핌 포토카드,LE SSERAFIM Photo Card,SOURCE MUSIC,10,4000,60,40,18314,le sserafim pc;kpop girl group;source music,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,11,K-POP 아이돌 스티커 세트,K-POP Idol Sticker Set,COKODIVE,8,3000,62,30,18314,kpop stickers;idol merch;kpop stationery,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,12,K-POP 앨범 포토카드 바인더,K-POP Album Photo Card Binder,WITHMUU,15,6000,60,150,18314,photocard binder;kpop collector;pc holder,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,13,K-POP 아이돌 응원 슬로건,K-POP Idol Cheering Slogan,MAKESTAR,22,9000,59,180,18314,kpop slogan;fan merch;concert goods,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,14,K-POP 아이돌 폰케이스,K-POP Idol Phone Case,MUSIC PLANT,28,11000,61,90,18314,kpop phone case;idol phone accessory;custom case,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,15,K-POP 아이돌 배지 세트,K-POP Idol Badge Set,EVERLINE,10,4000,60,50,18314,kpop badge;idol pin;merch pin,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,16,K-POP 아이돌 포토 프레임,K-POP Idol Photo Frame,DEAR MY MUSE,18,7000,61,180,18314,kpop photo frame;idol display;pc holder,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,17,K-POP 아이돌 마스크 스트랩,K-POP Idol Mask Strap,MUSIC KOREA,7,2500,64,30,18314,kpop mask strap;idol accessory;face mask holder,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,18,K-POP 아이돌 담요,K-POP Idol Blanket,BEATROAD,40,16000,60,400,18314,kpop blanket;idol throw;fan blanket,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,19,K-POP 아이돌 컵홀더,K-POP Idol Cup Holder,JOEUN MUSIC,5,1800,64,40,18314,kpop cup holder;idol event;fan cafe,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,20,K-POP 아이돌 엽서 세트,K-POP Idol Postcard Set,Ktown4u,12,4800,60,60,18314,kpop postcard;idol stationery;fan gift,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,21,K-POP 아이돌 미니 포스터,K-POP Idol Mini Poster,Ktown4u,9,3500,61,50,18314,kpop mini poster;idol decor;wall art,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,22,K-POP 아이돌 포토카드 홀더,K-POP Idol Photo Card Holder,COKODIVE,14,5500,61,80,18314,photocard holder;kpop pc storage;idol card case,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,23,K-POP 아이돌 뱃지,K-POP Idol Badge,WITHMUU,6,2200,63,30,18314,kpop pin;idol badge;merch accessory,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,24,K-POP 아이돌 포토카드 앨범,K-POP Idol Photo Card Album,MAKESTAR,20,8000,60,200,18314,photocard album;kpop collector;pc binder,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,25,K-POP 아이돌 포토카드 슬리브,K-POP Idol Photo Card Sleeve,MUSIC PLANT,5,1800,64,20,18314,photocard sleeve;kpop pc protection;card protector,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,26,K-POP 아이돌 포토카드 스탠드,K-POP Idol Photo Card Stand,EVERLINE,10,4000,60,70,18314,photocard stand;kpop pc display;idol card holder,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,27,K-POP 아이돌 포토카드 탑로더,K-POP Idol Photo Card Toploader,DEAR MY MUSE,8,3000,62,30,18314,photocard toploader;kpop pc protection;card case,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,28,K-POP 아이돌 포토카드 월렛,K-POP Idol Photo Card Wallet,MUSIC KOREA,15,6000,60,100,18314,photocard wallet;kpop pc storage;idol card wallet,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,29,K-POP 아이돌 포토카드 키링,K-POP Idol Photo Card Keyring,BEATROAD,12,4800,60,50,18314,photocard keyring;kpop pc accessory;idol keychain,0,domeggook-com;hallyugoods-com;fancykorea-com
kpop-goods,30,K-POP 아이돌 포토카드 세트 (비공식),K-POP Idol Photo Card Set (Unofficial),COKODIVE,7,2500,64,40,18314,kpop unofficial pc;idol fanmade;cheap photocards,0,domeggook-com;hallyugoods-com;fancykorea-com
k-beauty-skincare,1,조선미녀 맑은쌀 선크림,Beauty of Joseon Relief Sun Rice,조선미녀,18.5,7800,42,220,11233,korean sunscreen;kbeauty;rice extract,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,2,라운드랩 독도 토너,Round Lab 1025 Dokdo Toner,라운드랩,22,9000,45,300,11233,dokdo toner;korean toner;sensitive skin,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,3,아누아 어성초 토너,Anua Heartleaf 77% Soothing Toner,아누아,25,10500,43,320,11233,anua toner;heartleaf;calming toner,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,4,토리든 다이브인 저분자 히알루론산 세럼,Torriden DIVE-IN Low Molecular Hyaluronic Acid Serum,토리든,28,12000,42,150,11233,torriden serum;hyaluronic acid;hydration serum,8,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,5,코스알엑스 퓨어핏 시카 세럼,COSRX Pure Fit Cica Serum,코스알엑스,20,8500,43,120,11233,cosrx cica;cica serum;acne prone skin,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,6,메디힐 티트리 케어 솔루션 에센셜 마스크,Mediheal Teatree Care Solution Essential Mask,메디힐,18,7500,44,250,11233,mediheal mask;teatree mask;sheet mask,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,7,닥터자르트 시카페어 크림,Dr. Jart+ Cicapair Cream,닥터자르트,35,15000,41,180,11233,dr jart cica;cicapair;redness relief,-2,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,8,이니스프리 그린티 씨드 세럼,Innisfree Green Tea Seed Serum,이니스프리,24,10000,44,200,11233,innisfree green tea;hydrating serum;korean serum,-4,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,9,설화수 윤조 에센스,Sulwhasoo First Care Activating Serum,설화수,70,30000,41,250,11233,sulwhasoo serum;korean luxury;anti aging,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,10,라네즈 워터 슬리핑 마스크,Laneige Water Sleeping Mask,라네즈,28,12000,42,280,11233,laneige sleeping mask;hydration mask;overnight mask,-7,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,11,넘버즈인 3번 맑은 광채 촉촉 에센스,numbuzin No.3 Skin Softening Serum,넘버즈인,26,11000,43,150,11233,numbuzin serum;skin softening;korean essence,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,12,마녀공장 퓨어 클렌징 오일,Manyo Factory Pure Cleansing Oil,마녀공장,29,12500,42,350,11233,manyo cleansing oil;korean cleansing;double cleanse,-3,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,13,에스트라 아토베리어365 크림,Aestura Atobarrier 365 Cream,에스트라,32,14000,40,200,11233,aestura cream;atobarrier;sensitive skin moisturizer,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,14,한율 어린쑥 수분진정 크림,Hanyul Pure Artemisia Calming Water Cream,한율,27,11500,43,180,11233,hanyul artemisia;calming cream;korean moisturizer,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,15,아이오페 바이오 에센스,IOPE Bio Essence Intensive Conditioning,아이오페,45,19000,43,250,11233,iope essence;korean anti aging;skin conditioning,-9,domeggook-com;ownerclan-com;koreacosmetic-co-kr
k-beauty-skincare,16,센텔라 카밍 토너,Centella Calming Toner,라운드랩,20,8500,43,280,11233,centella toner;calming skincare;korean toner,0,domeggook-com;ownerclan-com;koreacosmetic-co-kr
