cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-pop-photocards,1,BTS 'Butter' Weverse 특전 포토카드 (정국),BTS 'Butter' Weverse POB Photocard (Jungkook),Weverse Shop,35.5,18000,58,30,171253,bts jungkook;butter photocard;weverse pob,0,pocamarket-com;kr-ktown4u-com;dometopia-com;kpopagent-com
k-pop-photocards,2,Stray Kids '樂-STAR' 사운드웨이브 럭키드로우 포토카드 (현진),Stray Kids 'ROCK-STAR' Soundwave Lucky Draw PC (Hyunjin),사운드웨이브,28,14500,51,30,171253,stray kids hyunjin;soundwave lucky draw;rockstar pc,0,pocamarket-com;kr-ktown4u-com;dometopia-com;ownerclan-com
k-pop-photocards,3,NCT WISH 'WISH' SMTOWN&STORE 특전 포토카드 (시온),NCT WISH 'WISH' SMTOWN&STORE POB Photocard (Sion),SMTOWN &STORE,15.5,7000,45,30,171253,nct wish sion;smtown store;pob photocard,0,kr-ktown4u-com;pocamarket-com;kpopagent-com;domeggook-com
k-pop-photocards,4,TWICE 'With YOU-th' JYP SHOP 특전 포토카드 (나연),TWICE 'With YOU-th' JYP SHOP POB Photocard (Nayeon),JYP SHOP,18,8500,48,30,171253,twice nayeon;jyp shop pob;with youth photocard,0,pocamarket-com;kr-ktown4u-com;dometopia-com;kodyglobal-com
k-pop-photocards,5,BLACKPINK 'BORN PINK' YG SELECT 특전 포토카드 (리사),BLACKPINK 'BORN PINK' YG SELECT POB Photocard (Lisa),YG SELECT,25,12000,52,30,171253,blackpink lisa;yg select;born pink pc,0,pocamarket-com;kr-ktown4u-com;kpopagent-com;ownerclan-com
k-pop-photocards,6,ZEROBASEONE 'YOUTH IN THE SHADE' 메이크스타 미공개 포토카드 (성한빈),ZEROBASEONE 'YOUTH IN THE SHADE' Makestar POB (Sung Hanbin),메이크스타,22.5,11000,54,30,171253,zb1 hanbin;makestar pob;zerobaseone photocard,0,pocamarket-com;kr-ktown4u-com;dometopia-com;ifbear-com-k-pop-photocard-wholesale
k-pop-photocards,7,IVE 'I'VE SWITCH' 애플뮤직 특전 포토카드 (장원영),IVE 'I'VE SWITCH' Apple Music POB Photocard (Jang Wonyoung),애플뮤직,30,15000,55,30,171253,ive wonyoung;apple music pob;ive switch pc,0,pocamarket-com;kr-ktown4u-com;dometopia-com;kodyglobal-com
k-pop-photocards,8,LE SSERAFIM 'EASY' 위드뮤 럭키드로우 포토카드 (사쿠라),LE SSERAFIM 'EASY' Withmuu Lucky Draw PC (Sakura),위드뮤,24,11500,50,30,171253,le sserafim sakura;withmuu lucky draw;easy photocard,0,pocamarket-com;kr-ktown4u-com;dometopia-com;ownerclan-com
k-pop-photocards,9,NewJeans 'Get Up' 케이타운포유 특전 포토카드 (하니),NewJeans 'Get Up' Ktown4u POB Photocard (Hanni),케이타운포유,26.5,13000,53,30,171253,newjeans hanni;ktown4u pob;get up photocard,0,kr-ktown4u-com;pocamarket-com;dometopia-com;kpopagent-com
k-pop-photocards,10,aespa 'Armageddon' 에버라인 특전 포토카드 (카리나),aespa 'Armageddon' Everline POB Photocard (Karina),에버라인,29,14000,56,30,171253,aespa karina;everline pob;armageddon pc,0,pocamarket-com;kr-ktown4u-com;dometopia-com;ifbear-com-k-pop-photocard-wholesale
k-pop-photocards,11,TXT 'minisode 3: TOMORROW' 앨범 포토카드 (연준),TXT 'minisode 3: TOMORROW' Album Photocard (Yeonjun),Weverse Shop,12,5000,42,30,171253,txt yeonjun;album photocard;tomorrow pc,0,pocamarket-com;kr-ktown4u-com;domeggook-com;ownerclan-com
