rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-pop-photocards,K팝 포토카드,K-POP Photocards,red,0,5,65,"앨범·팝업스토어·팬미팅 등 한국에서만 구할 수 있는 한정판 상품 수요가 폭발적이며, BTS·Stray Kids 등 글로벌 팬덤이 매출을 견인하고 있습니다."
2,automotive-parts,자동차 부품 (순정·애프터마켓),Automotive Parts (OEM & Aftermarket),red,0,4,40,"현대·기아차의 글로벌 판매량 증가로 순정(OEM) 부품 DIY 수요가 꾸준히 높으며, eBay의 'Guaranteed Fit' 프로그램이 판매를 촉진합니다."
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty (Skincare),red,0,5,50,"리들샷, PDRN 등 혁신 성분을 내세운 기능성 스킨케어 제품이 인기를 끌고 있으며, 2023년 이후 K-스킨케어 제품의 성장이 두드러집니다."
4,collectible-toys-figures,수집용 장난감·피규어,Collectible Toys & Figures,red,5,4,45,"K-POP 인기에 힘입어 티니핑, 핑크퐁 등 한국 캐릭터 상품의 글로벌 인지도가 상승하며 판매량이 증가하고 있습니다."
5,drones-accessories,드론·액세서리,Drones & Accessories,red,-1,3,30,개인 영상 촬영 및 취미용 드론 시장 확대로 한국 셀러의 드론 카테고리 매출이 최상위권을 기록했습니다.
6,mobile-phone-parts,휴대폰 부품,Mobile Phone Parts,blue,0,4,55,"삼성 갤럭시 등 한국 스마트폰의 글로벌 점유율이 높아, 액정, 배터리, 메인보드 등 순정 부품에 대한 교체 수요가 꾸준합니다."
7,k-fashion-resale,K-패션 (리셀·빈티지),K-Fashion (Resale & Vintage),blue,0,4,60,"젠틀몬스터, 스탠드오일 등 K-패션 브랜드의 중고 및 빈티지 제품 리셀 시장이 활성화되어 있으며, 희소성 있는 아이템이 고가에 거래됩니다."
8,k-pop-albums-merch,K팝 앨범·굿즈,K-POP Albums & Merch,blue,-2,5,35,"BTS, 블랙핑크 등 주요 아티스트의 신보 발매 시기에 판매량이 급증하며, 특히 응원봉(라이트스틱)은 검색량과 판매액 모두 최상위권입니다."
9,k-haircare,K-헤어케어,K-Haircare,blue,1,3,48,"K-뷰티 카테고리 내에서 K-헤어케어 제품들이 두피 관리, 탈모 완화 기능성을 중심으로 주목받으며 꾸준한 성과를 보이고 있습니다."
10,k-snacks-ramen,K-스낵·라면,K-Snacks & Ramen,blue,0,4,40,"K-콘텐츠의 영향으로 한국 과자, 라면 등을 맛보려는 수요가 증가하며, 여러 제품을 묶은 '스낵 박스' 형태의 판매가 인기입니다."
11,k-stationery,K-문구·다꾸,K-Stationery,blue,0,3,58,"독특한 디자인의 스티커, 마스킹테이프, 다이어리 등 '다꾸(다이어리 꾸미기)' 관련 상품이 글로벌 팬덤을 형성하며 꾸준히 판매됩니다."
12,industrial-equipment,산업용 장비·부품,Business & Industrial Equipment,blue,1,2,25,"다른 이커머스에서 구하기 어려운 산업용 제어 시스템, 장비 부품 등 B2B 성격의 품목들이 높은 판매고를 올리는 숨겨진 강자 카테고리입니다."
13,tv-parts-components,TV 부품,TV Parts & Components,blue,0,3,50,"글로벌 시장을 선도하는 삼성 TV의 메인보드, 파워보드, 스크린 등 수리용 부품 수요가 꾸준하며, 특히 미국과 유럽 시장에서 강세입니다."
14,mens-fashion-accessories,남성 패션·잡화,Men's Fashion & Accessories,blue,0,4,45,"스포츠웨어, 신발, 지갑, 모자 등 K-브랜드 제품에 대한 해외 관심이 높으며, 특히 중고 거래가 활발한 카테고리입니다."
15,womens-fashion,여성 패션,Women's Fashion,blue,0,5,50,"국내 컨템포러리 브랜드들이 글로벌 시장에서 인기를 얻고 있으며, 중고 의류 및 액세서리 거래도 활발합니다."
16,k-beauty-makeup,K-뷰티 (메이크업),K-Beauty (Makeup),blue,0,5,55,"쿠션 파운데이션, 립 틴트 등 K-뷰티의 시그니처 아이템은 여전히 강세이며, 가성비와 제품력을 바탕으로 꾸준한 판매를 기록하고 있습니다."
17,camping-hiking-gear,캠핑·등산용품,Camping & Hiking Gear,blue,0,3,38,"기능성과 디자인을 겸비한 한국의 캠핑, 등산 브랜드들이 해외 아웃도어 시장에서 인지도를 높이며 새로운 기회 시장으로 떠오르고 있습니다."
18,golf-equipment,골프용품,Golf Equipment,blue,0,3,35,"한국 브랜드의 골프 의류, 클럽, 액세서리 등이 품질과 디자인 경쟁력을 바탕으로 북미 및 동남아 시장에서 좋은 반응을 얻고 있습니다."
19,fishing-supplies,낚시용품,Fishing Supplies,blue,0,2,42,"품질이 우수한 한국산 낚싯대, 릴, 루어 등 전문 낚시 장비가 해외 매니아층을 중심으로 꾸준한 수요를 보이고 있습니다."
20,refurbished-electronics,리퍼비시 전자제품,Refurbished Electronics,blue,0,4,30,"가치 소비 트렌드에 따라, 한국 셀러들이 공급하는 고품질의 리퍼비시 스마트폰, 노트북, 태블릿 등이 가격 경쟁력을 무기로 인기를 끌고 있습니다."
21,k-pop-fashion-magazines,K팝 패션 잡지,K-POP Fashion Magazines,blue,0,3,50,"K팝 아이돌이 커버를 장식한 한국 패션 잡지는 팬들에게 중요한 수집품으로 인식되며, 부록이나 인터뷰 내용에 따라 높은 가격에 판매됩니다."
22,beauty-devices,뷰티 디바이스,Beauty Devices,blue,-15,3,40,"LED 마스크, 갈바닉 이온 마사지기 등 한국의 홈케어 뷰티 디바이스 기술력이 인정받으며 스킨케어와 시너지 효과를 내는 고부가가치 상품군입니다."
23,pet-supplies,반려동물용품,Pet Supplies,blue,4,3,45,"디자인과 아이디어가 돋보이는 한국의 반려동물 의류, 장난감, 기능성 간식 등이 해외 펫팸족(Pet+Family)에게 좋은 반응을 얻고 있습니다."
24,home-living-decor,리빙·홈데코,Home & Living Decor,blue,0,4,38,"미니멀하고 감성적인 디자인의 한국산 식기류, 패브릭, 인테리어 소품들이 K-라이프스타일에 대한 관심과 함께 성장하고 있습니다."
25,traditional-crafts,전통 공예품,Traditional Crafts,blue,-7,2,68,"나전칠기, 한지 공예, 자개 소품 등 한국의 미가 담긴 수공예품은 독창성과 희소성으로 인해 고마진을 기대할 수 있는 틈새시장입니다."
26,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,0,2,55,"글로벌 플랫폼을 통해 인기를 얻은 K-웹툰의 단행본, 캐릭터 굿즈, 한정판 아트북 등이 새로운 수집 아이템으로 부상하고 있습니다."
27,k-id-custom-goods,팬 제작 굿즈,Fan-made Custom Goods,blue,0,3,70,"팬들이 직접 디자인하고 제작한 아이돌 인형 옷, 비공식 포토카드, 키링 등은 공식 굿즈와 다른 매력으로 틈새 수요를 공략하고 있습니다."
