cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty,1,어성초 시카 진정 앰플,Houttuynia Cordata Cica Calming Ampoule,SOME BY MI,25.99,12500,45,150,11233,korean ampoule;cica serum;acne care,5,domeggook-com-kbeauty;b2b-cosmekakorea-com;beautyandbiz-co-kr;celebbeauty-co-kr-wholesale
k-beauty,2,프로폴리스 시너지 토너,Propolis Synergy Toner,COSRX,18.75,8900,48,200,11233,cosrx toner;propolis;hydrating,3,b2b-cosmekakorea-com;beautyandbiz-co-kr;celebbeauty-co-kr-wholesale;b2b-memebox-com
k-beauty,3,그린티 씨드 세럼,Green Tea Seed Serum,Innisfree,32.5,15000,40,180,11233,innisfree serum;korean skincare;hydration,2,wholesale-innisfree-com;beautyandbiz-co-kr;celebbeauty-co-kr-wholesale;b2b-memebox-com
k-beauty,4,워터 슬리핑 마스크 EX,Water Sleeping Mask EX,Laneige,38,18000,42,250,11233,laneige mask;sleeping pack;moisturizing,4,wholesale-amorepacific-com;celebbeauty-co-kr-wholesale;b2b-memebox-com;b2b-lgcare-com
k-beauty,5,순정 약산성 5.5 진정 토너,SoonJung pH 5.5 Relief Toner,Etude House,22.99,10500,46,210,11233,etude house;sensitive skin;low pH toner,1,wholesale-etudehouse-com;celebbeauty-co-kr-wholesale;b2b-memebox-com;wholesale-amorepacific-com
k-beauty,6,시카페어 크림,Cicapair Cream,Dr. Jart+,49.99,25000,38,100,11233,dr jart;cica cream;redness relief,6,b2b-lgcare-com;beautyandbiz-co-kr;wholesale-amorepacific-com;wholesale-mediheal-com
k-beauty,7,조선미녀 맑은쌀 선크림,Beauty of Joseon Relief Sun : Rice + Probiotics,Beauty of Joseon,15.99,7500,50,80,11233,korean sunscreen;rice probiotics;spf 50,8,domeggook-com-kbeauty;b2b-cosmekakorea-com;b2b-lgcare-com;wholesale-mediheal-com
k-beauty,8,윤조 에센스,First Care Activating Serum,Sulwhasoo,85,40000,35,180,11233,sulwhasoo serum;anti-aging;luxury skincare,0,wholesale-amorepacific-com;wholesale-mediheal-com;wholesale-innisfree-com;wholesale-etudehouse-com
k-beauty,9,타임 레볼루션 나이트 리페어 프로바이오 보라빛 앰플,Time Revolution Night Repair Probio Ampoule,MISSHA,42,20000,40,120,11233,missha ampoule;anti-aging;night repair,3,celebbeauty-co-kr-wholesale;beautyandbiz-co-kr;wholesale-innisfree-com;wholesale-etudehouse-com
k-beauty,10,잉크 더 벨벳 틴트,Ink The Velvet Tint,Peripera,9.99,4500,55,50,11233,peripera tint;korean lip tint;velvet finish,7,domeggook-com-kbeauty;b2b-cosmekakorea-com;wholesale-etudehouse-com;beautyandbiz-co-kr
k-beauty,11,히알루론산 퓨어 하이드레이팅 세럼,Hyaluronic Acid Pure Hydrating Serum,ISNtree,20.5,9800,47,130,11233,hyaluronic serum;korean hydration;plumping,4,b2b-cosmekakorea-com;beautyandbiz-co-kr;domeggook-com-kbeauty;celebbeauty-co-kr-wholesale
k-beauty,12,어성초 77% 진정 토너,Anua Heartleaf 77% Soothing Toner,Anua,28,13500,43,220,11233,anua toner;heartleaf;calming toner,9,domeggook-com-kbeauty;celebbeauty-co-kr-wholesale;b2b-cosmekakorea-com;beautyandbiz-co-kr
k-beauty,13,레티놀 시카 흔적 앰플,Retinol Cica Repair Ampoule,Innisfree,35,16500,42,100,11233,innisfree retinol;cica ampoule;blemish care,6,wholesale-innisfree-com;beautyandbiz-co-kr;celebbeauty-co-kr-wholesale;b2b-memebox-com
k-beauty,14,블랙 스네일 올인원 크림,Black Snail All In One Cream,SOME BY MI,29.99,14000,45,180,11233,snail cream;some by mi;anti-aging,3,domeggook-com-kbeauty;b2b-cosmekakorea-com;celebbeauty-co-kr-wholesale;b2b-memebox-com
k-beauty,15,어드밴스드 스네일 96 뮤신 파워 에센스,Advanced Snail 96 Mucin Power Essence,COSRX,21.99,10000,49,150,11233,snail mucin;cosrx essence;repair serum,5,b2b-cosmekakorea-com;beautyandbiz-co-kr;b2b-memebox-com;wholesale-amorepacific-com
k-beauty,16,네오쿠션 매트,Neo Cushion Matte,Laneige,45,22000,39,100,11233,laneige cushion;korean foundation;matte finish,2,wholesale-amorepacific-com;b2b-lgcare-com;wholesale-mediheal-com;wholesale-innisfree-com
k-beauty,17,닥터지 레드 블레미쉬 클리어 수딩 크림,Dr.G Red Blemish Clear Soothing Cream,Dr. G,30,14500,44,120,11233,dr g cream;soothing cream;blemish care,7,b2b-lgcare-com;celebbeauty-co-kr-wholesale;wholesale-mediheal-com;wholesale-innisfree-com
k-beauty,18,프로폴리스 꿀광 앰플,Propolis B5 Glow Barrier Ampoule,SOME BY MI,27.5,13000,46,140,11233,propolis ampoule;glow serum;barrier repair,4,domeggook-com-kbeauty;b2b-cosmekakorea-com;wholesale-mediheal-com;wholesale-innisfree-com
k-beauty,19,블랙티 유스 인핸싱 앰플,Black Tea Youth Enhancing Ampoule,Innisfree,40,19000,41,110,11233,innisfree black tea;anti-aging;youth serum,1,wholesale-innisfree-com;wholesale-etudehouse-com;domeggook-com-kbeauty;b2b-cosmekakorea-com
k-beauty,20,에어리 핏 젤리 틴트,Airy Fit Jelly Tint,Peripera,8.5,3800,58,40,11233,peripera jelly tint;korean makeup;long lasting,8,domeggook-com-kbeauty;b2b-cosmekakorea-com;wholesale-etudehouse-com;beautyandbiz-co-kr
k-beauty,21,레드 블레미쉬 시카 수딩 토너,Red Blemish Cica Soothing Toner,Dr. G,26,12000,47,200,11233,dr g toner;cica soothing;acne prone,5,b2b-lgcare-com;celebbeauty-co-kr-wholesale;domeggook-com-kbeauty;b2b-cosmekakorea-com
