rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-beauty,K-뷰티,K-Beauty,red,2,5,35,리들샷·PDRN 등 성분 중심 K-뷰티가 시장 견인. 신제품 사이클이 빨라 경쟁이 치열함.
2,k-pop-goods,K팝 굿즈,K-pop Goods,red,0,5,25,포토카드 및 앨범 미개봉 상품 수요가 꾸준함. 특정 그룹 팬덤을 타겟팅하는 전략이 유효.
3,k-fashion,K-패션,K-Fashion,red,-1,4,40,스트리트웨어와 아이돌 공항패션 아이템이 인기. 동대문 사입 상품의 빠른 소싱이 관건.
4,korean-snacks,한국 과자,Korean Snacks,red,1,4,20,"허니버터, 불닭 등 스테디셀러와 신상 과자 조합 판매가 유리. 유통기한 및 배송 중 파손 관리가 중요."
5,k-health-supplements,한국 건강기능식품,Korean Health Supplements,red,-2,4,50,"홍삼, 콜라겐, 유산균 제품의 인기가 높음. 국가별 수입 규정 및 성분 표기 확인 필수."
6,k-stationery,한국 문구/다꾸,K-Stationery / Deco,blue,3,3,60,"다이어리 꾸미기(다꾸)용 스티커, 마스킹테이프 수요 증가. 작가 콜라보 상품이 높은 부가가치를 창출함."
7,korean-instant-noodles,한국 라면,Korean Instant Noodles,blue,0,3,18,다양한 맛을 번들로 묶어 판매하는 전략이 효과적. 무거운 중량으로 인해 물류비 최적화가 핵심.
8,k-webtoon-goods,웹툰 굿즈,K-Webtoon Goods,blue,5,3,55,"드라마화된 인기 웹툰의 단행본, 아크릴 스탠드 등 굿즈 수요 급증. 정식 라이선스 상품 취급이 중요."
9,korean-kitchenware,한국 주방용품,Korean Kitchenware,blue,-1,2,45,"돌솥, 뚝배기, 수저 세트 등 전통 주방용품에 대한 관심 증가. 파손 위험이 있어 안전한 포장이 필수."
10,k-pop-unofficial-goods,K팝 비공식 굿즈,K-pop Unofficial Goods,blue,2,3,70,"팬들이 제작한 슬로건, 키링 등 2차 창작물 시장. 저작권 이슈에 민감하므로 주의가 필요함."
11,korean-traditional-crafts,한국 전통 공예품,Korean Traditional Crafts,blue,0,2,65,"자개 보석함, 한지 공예품 등 고유한 디자인이 강점. 상품의 스토리텔링을 통해 가치를 높일 수 있음."
12,korean-baby-products,한국 유아용품,Korean Baby Products,blue,-3,2,48,"안전 인증을 받은 유아용 식기, 스킨케어 제품이 인기. 국가별 안전 기준 및 인증 절차 확인이 중요."
13,korean-pet-supplies,한국 반려동물 용품,Korean Pet Supplies,blue,4,2,52,"디자인이 뛰어난 반려동물 의류, 하네스, 기능성 간식 수요가 있음. 사료/간식은 성분 검역 이슈 확인 필요."
14,korean-socks,한국 양말,Korean Socks,blue,1,3,30,독특한 캐릭터와 디자인이 강점. 저렴한 단가로 다수 묶음 판매 시 객단가 상승에 유리.
15,korean-tea-coffee-mix,한국 전통차/커피믹스,Korean Tea & Coffee Mix,blue,-2,2,38,"유자차, 생강차 등 전통차와 인스턴트 커피믹스가 꾸준히 판매됨. 선물용 패키지 상품 구성이 효과적."
16,k-drama-dvds-blurays,K드라마 DVD/블루레이,K-Drama DVDs & Blu-rays,blue,1,1,58,"감독판, 한정판 등 소장 가치가 있는 상품이 핵심. 국가별 지역 코드 및 자막 지원 여부 명시 필수."
17,korean-fishing-gear,한국 낚시용품,Korean Fishing Gear,blue,3,1,42,품질 좋은 국산 낚싯대와 루어에 대한 매니아층 수요 존재. 부피가 큰 상품의 배송비 경쟁력 확보가 관건.
18,hanbok,한복 (개량/전통),Hanbok (Modern & Traditional),blue,-1,2,68,"생활 한복, 파티용 한복 등 특별한 날을 위한 수요가 있음. 정확한 사이즈 가이드 제공이 반품률을 낮춤."
19,korean-phone-accessories,한국 휴대폰 케이스/액세서리,Korean Phone Cases & Accessories,blue,0,3,62,독특한 디자인과 그립톡 등 아이디어 상품이 인기. 최신 스마트폰 모델에 맞춰 빠르게 상품을 업데이트해야 함.
20,korean-board-games,한국 보드게임,Korean Board Games,blue,6,1,50,한국어 학습용 또는 독특한 테마의 보드게임이 틈새 시장을 형성. 게임 규칙을 영어로 번역하여 제공하는 것이 중요.
