rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,글로벌 아이돌 그룹들의 컴백과 한정판 MD 수요가 맞물려 폭발적인 성장세를 유지하고 있습니다. 특히 포토카드는 단일 품목으로도 높은 판매량을 기록 중입니다.
2,auto-parts,자동차 부품,Auto Parts,red,0,4,35,미국 내 한국 차량 점유율 증가와 DIY 문화 확산으로 꾸준한 매출 상위권을 차지하고 있습니다. 온라인 플랫폼을 통한 자동차 부품 구매가 일반화되는 추세입니다.
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,0,5,55,"K-뷰티의 인기가 스킨케어 제품을 중심으로 꾸준히 지속되고 있습니다. 특히 일본 시장에서 높은 성장세를 보이며, 신생 브랜드들의 약진이 두드러집니다."
4,drones,드론/액세서리,Drones & Accessories,red,0,3,30,"개인 영상 촬영 및 취미용 드론 시장 확대로 한국 셀러들의 매출 최상위권을 기록했습니다. 특히 2026년 1분기에는 조립 완구, K팝 상품과 함께 가장 높은 성장률을 보인 카테고리 중 하나입니다."
5,trading-cards,수집용 트레이딩 카드,Trading Cards,red,0,5,65,K팝 포토카드와 더불어 포켓몬 카드 등 수집용 트레이딩 카드의 인기가 폭발적으로 증가하고 있습니다. 희소성 있는 카드는 높은 가격에 거래되며 고수익을 창출합니다.
6,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,0,4,40,K팝 아이돌이 착용한 아이템이 SNS에서 화제가 되며 직접적인 구매로 이어지고 있습니다. 특히 일본 시장에서 K-이너웨어의 수요가 급증하는 등 카테고리가 확장되는 추세입니다.
7,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,0,3,38,"신발, 지갑, 모자 등 스포츠웨어 브랜드 중심으로 꾸준한 판매량을 보이며 상위권에 올랐습니다. K-콘텐츠의 영향으로 한국 브랜드에 대한 해외 관심이 지속되고 있습니다."
8,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,0,3,32,레고와 같은 조립 완구는 2026년 1분기 가장 높은 성장률을 기록한 카테고리 중 하나입니다. 단종된 희귀 제품은 높은 수집 수요로 인해 고가에 거래됩니다.
9,character-goods,캐릭터 굿즈,Character Goods,blue,0,4,50,"티니핑, 핑크퐁 등 한국 캐릭터 상품이 글로벌 팬덤을 기반으로 높은 판매 순위를 기록하고 있습니다. 웹툰 IP 기반 상품들도 인기를 끌고 있습니다."
10,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,6,5,58,"일본 시장을 중심으로 K-뷰티 색조 제품이 강세를 보이고 있습니다. 특히 마스카라, 틴트 등 특정 품목들이 판매 랭킹 상위권을 장악하고 있습니다."
11,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,0,4,60,"스마트폰 액세서리는 전 세계적으로 꾸준한 수요를 보이는 카테고리입니다. 특히 보호 케이스, 충전기, 보조 배터리 등은 마진율이 높아 수익성이 좋습니다."
12,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,0,3,48,"K-뷰티 카테고리 내에서 헤어케어 제품의 성장이 두드러집니다. 탈모 샴푸, 두피 토닉 등 기능성 제품들이 해외 소비자들에게 좋은 반응을 얻고 있습니다."
13,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,0,4,25,"원격 근무, 학생, 게이머들의 수요로 인해 컴퓨터 및 관련 부품 시장은 꾸준한 판매량을 유지하고 있습니다. 한국산 부품의 품질 경쟁력이 해외 시장에서 인정받고 있습니다."
14,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,0,3,55,건강과 미용에 대한 관심 증가로 이너뷰티 및 건강기능식품 수요가 꾸준히 늘고 있습니다. 특히 일본 시장에서 K-이너뷰티 제품 판매량이 급증했습니다.
15,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,0,4,50,팬덤 기반의 소비 문화 확산으로 피규어 및 수집용 완구 시장이 성장하고 있습니다. 한국 캐릭터 피규어들이 좋은 반응을 얻고 있습니다.
16,k-food,K-푸드/스낵,K-Food & Snacks,blue,0,4,45,"K-콘텐츠의 영향으로 한국 음식에 대한 관심이 높아지면서 관련 스낵 및 식품류의 판매가 증가하고 있습니다. 라면, 과자, 소스류가 꾸준히 인기를 끌고 있습니다."
