cat_slug,rank,name,country,change,initials
kpop-goods,1,Weverse Shop,KR,0,위버스
kpop-goods,2,Ktown4u,KR,0,케이
kpop-goods,3,YG SELECT,KR,0,YG
kpop-goods,4,SMTOWN &STORE,KR,0,SM
kpop-goods,5,SOUNDWAVE,KR,0,사운
kpop-goods,6,EVERLINE,KR,0,에버
kpop-goods,7,MAKESTAR,KR,0,메이
kpop-goods,8,DEAR MY MUSE,KR,0,디어
kpop-goods,9,WITHMUU,KR,0,위드
kpop-goods,10,APPLE MUSIC (KOREA),KR,0,애플
kpop-goods,11,MUSIC KOREA,KR,0,뮤직
kpop-goods,12,BEATROAD,KR,0,비트
kpop-goods,13,JUMPUP,KR,0,점프
kpop-goods,14,JOEUN MUSIC,KR,0,조은
kpop-goods,15,MUSICPLANT,KR,0,뮤직
kpop-goods,16,MOKKET SHOP,KR,0,모켓
kpop-goods,17,WONDERWALL,KR,0,원더
kpop-goods,18,DMM,KR,0,디엠
kpop-goods,19,KPOPMERCH,KR,0,케이
kpop-goods,20,PHOTOMON,KR,0,포토
auto-parts,1,현대모비스,KR,0,현대
auto-parts,2,HL만도,KR,0,HL
auto-parts,3,한온시스템,KR,0,한온
auto-parts,4,현대트랜시스,KR,0,현대
auto-parts,5,현대위아,KR,0,현대
auto-parts,6,한국타이어앤테크놀로지,KR,0,한국
auto-parts,7,금호타이어,KR,0,금호
auto-parts,8,넥센타이어,KR,0,넥센
auto-parts,9,에스엘,KR,0,에스
auto-parts,10,성우하이텍,KR,0,성우
auto-parts,11,화신,KR,0,화신
auto-parts,12,평화정공,KR,0,평화
auto-parts,13,세방전지,KR,0,세방
auto-parts,14,상신브레이크,KR,0,상신
auto-parts,15,유라코퍼레이션,KR,0,유라
auto-parts,16,아진산업,KR,0,아진
auto-parts,17,경창산업,KR,0,경창
auto-parts,18,동원금속,KR,0,동원
auto-parts,19,인지컨트롤스,KR,0,인지
auto-parts,20,두원공조,KR,0,두원
k-beauty-skincare,1,설화수,KR,0,설화
k-beauty-skincare,2,닥터자르트,KR/US,1,닥터
k-beauty-skincare,3,이니스프리,KR,1,이니스
k-beauty-skincare,4,라네즈,KR,-2,라네
k-beauty-skincare,5,코스알엑스,KR,0,코스
k-beauty-skincare,6,라운드랩,KR,3,라운
k-beauty-skincare,7,토리든,KR,-1,토리
k-beauty-skincare,8,아누아,KR,-1,아누
k-beauty-skincare,9,메디힐,KR,1,메디
k-beauty-skincare,10,마녀공장,KR,1,마녀
k-beauty-skincare,11,에스트라,KR,2,에스
k-beauty-skincare,12,넘버즈인,KR,2,넘버
k-beauty-skincare,13,아이오페,KR,0,아이
k-beauty-skincare,14,아비브,KR,0,아비
k-beauty-skincare,15,한율,KR,0,한율
k-beauty-skincare,16,빌리프,KR,0,빌리
k-beauty-skincare,17,CNP,KR,0,씨앤
k-beauty-skincare,18,구달,KR,0,구달
k-beauty-skincare,19,아이소이,KR,0,아이
k-beauty-skincare,20,조선미녀,KR,-12,조선
drones,1,두산모빌리티이노베이션,KR,0,두산
drones,2,파블로항공,KR,0,파블
drones,3,네온테크,KR,0,네온
drones,4,유콘시스템,KR,0,유콘
drones,5,한화시스템,KR,0,한화
drones,6,LIG넥스원,KR,0,LI
drones,7,대한항공,KR,0,대한
drones,8,니어스랩,KR,0,니어
drones,9,숨비,KR,0,숨비
drones,10,프리뉴,KR,0,프리
drones,11,바이로봇,KR,0,바이
drones,12,유맥에어,KR,0,유맥
drones,13,피앤유드론,KR,0,피앤
drones,14,엑스드론,KR,0,엑스
drones,15,네스앤텍,KR,0,네스
drones,16,볼트라인,KR,0,볼트
drones,17,휴인스,KR,0,휴인
drones,18,에이럭스,KR,0,에이
drones,19,디브레인,KR,0,디브
drones,20,퍼스텍,KR,0,퍼스
trading-cards,1,포켓몬 카드 게임 코리아,KR/JP,0,포켓
trading-cards,2,유희왕 OCG (대원미디어),KR/JP,0,유희
trading-cards,3,쿠키런: 브레이버스,KR,0,쿠키
trading-cards,4,디지몬 카드 게임 (대원미디어),KR/JP,0,디지
trading-cards,5,카드파이트!! 뱅가드 (대원미디어),KR/JP,0,뱅가
trading-cards,6,바이스 슈발츠 (대원미디어),KR/JP,0,바이
trading-cards,7,판타지 마스터즈,KR,0,판타
trading-cards,8,메이플스토리 iTCG,KR,0,메이
trading-cards,9,카드킹덤,KR,0,카드
trading-cards,10,카드캐슬,KR,0,카드
trading-cards,11,TCG샵,KR,0,TC
trading-cards,12,소드걸스 TCG,KR,0,소드
trading-cards,13,라그나로크 TCG,KR,0,라그
trading-cards,14,니벨아레나,KR,0,니벨
trading-cards,15,코리아보드게임즈,KR,0,코리
trading-cards,16,롤러코스터보이 노리,KR,0,롤러
trading-cards,17,듀얼몰,KR,0,듀얼
trading-cards,18,거상 TCG,KR,0,거상
trading-cards,19,트레이너스,KR,0,트레
trading-cards,20,슈미드디바,KR,0,슈미
k-fashion,1,무신사,KR,0,무신
k-fashion,2,아더에러,KR,0,아더
k-fashion,3,젠틀몬스터,KR,0,젠틀
k-fashion,4,앤더슨벨,KR,0,앤더
k-fashion,5,디스이즈네버댓,KR,0,디스
k-fashion,6,마르디 메크르디,KR,0,마르
k-fashion,7,마뗑킴,KR,0,마뗑
