cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,방탄소년단 공식 응원봉 Ver.3,BTS Official Light Stick Ver.3,Weverse Shop,65.99,28000,57,350,11923,bts lightstick;kpop merch;army bomb,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,2,블랙핑크 공식 포토카드 세트,BLACKPINK Official Photocard Set,YG SELECT,29.99,12000,60,80,11923,blackpink pc;kpop photocard;yg select,0,domeggook-com;sellmoa-com;idolgoods-co-kr
kpop-goods,3,스트레이키즈 앨범 'ODDINARY',Stray Kids Album 'ODDINARY',JYP Entertainment,35.5,15000,58,250,11923,stray kids album;kpop cd;oddinary,0,domeggook-com
kpop-goods,4,아이브 공식 팬클럽 키트,IVE Official Fanclub Kit,Starship Entertainment,49.99,20000,60,400,11923,ive fanclub;kpop kit;starship,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,5,뉴진스 포토카드 홀더,NewJeans Photocard Holder,ADOR,22,9000,59,120,11923,newjeans pc holder;kpop merch;ador,0,domeggook-com;sellmoa-com;idolgoods-co-kr
kpop-goods,6,세븐틴 공식 응원봉 Ver.2,SEVENTEEN Official Light Stick Ver.2,Pledis Entertainment,62.99,27000,57,350,11923,seventeen lightstick;kpop merch;carat bong,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,7,투모로우바이투게더 미니 앨범 'minisode 2: Thursday's Child',TXT Mini Album 'minisode 2: Thursday's Child',Big Hit Music,28.99,12000,58,200,11923,txt album;kpop cd;thursdays child,0,domeggook-com
kpop-goods,8,NCT DREAM 공식 응원봉,NCT DREAM Official Light Stick,SMTOWN &STORE,59.99,25000,58,320,11923,nct dream lightstick;kpop merch;sm town,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,9,르세라핌 포토카드 바인더,LE SSERAFIM Photocard Binder,Source Music,25,10000,60,150,11923,le sserafim pc;kpop binder;source music,0,domeggook-com;sellmoa-com;idolgoods-co-kr
kpop-goods,10,엔하이픈 미니 앨범 'MANIFESTO : DAY 1',ENHYPEN Mini Album 'MANIFESTO : DAY 1',BELIFT LAB,27.99,11500,59,200,11923,enhypen album;kpop cd;manifesto,0,domeggook-com
kpop-goods,11,트와이스 공식 응원봉 'Candy Bong Z',TWICE Official Light Stick 'Candy Bong Z',JYP Entertainment,60.99,26000,57,330,11923,twice lightstick;kpop merch;candy bong,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,12,아이유 공식 응원봉,IU Official Light Stick,EDAM Entertainment,55,23000,58,300,11923,iu lightstick;kpop merch;edam,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,13,엑소 공식 응원봉 Ver.3,EXO Official Light Stick Ver.3,SMTOWN &STORE,63.99,27000,57,340,11923,exo lightstick;kpop merch;sm town,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,14,있지 공식 응원봉,ITZY Official Light Ring,JYP Entertainment,58.99,24000,59,310,11923,itzy light ring;kpop merch;jyp,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,15,에스파 공식 응원봉,aespa Official Light Stick,SMTOWN &STORE,57.99,23500,59,300,11923,aespa lightstick;kpop merch;sm town,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,16,NCT 127 공식 응원봉,NCT 127 Official Light Stick,SMTOWN &STORE,59.99,25000,58,320,11923,nct 127 lightstick;kpop merch;sm town,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,17,방탄소년단 앨범 'MAP OF THE SOUL : PERSONA',BTS Album 'MAP OF THE SOUL : PERSONA',Big Hit Music,32.5,13500,58,230,11923,bts album;kpop cd;persona,0,domeggook-com
kpop-goods,18,블랙핑크 앨범 'THE ALBUM',BLACKPINK Album 'THE ALBUM',YG SELECT,30,12500,58,210,11923,blackpink album;kpop cd;the album,0,domeggook-com
kpop-goods,19,케이팝 아이돌 포토카드 슬리브,K-Pop Idol Photocard Sleeves,Generic Kpop Goods,12.99,5000,61,60,11923,photocard sleeves;kpop accessories;pc protection,0,domeggook-com;sellmoa-com;idolgoods-co-kr
kpop-goods,20,케이팝 아이돌 앨범 포스터,K-Pop Idol Album Poster,Generic Kpop Goods,15,6000,60,100,11923,kpop poster;album poster;idol poster,0,domeggook-com;dometopia-com;idolgoods-co-kr
kpop-goods,21,케이팝 아이돌 키링,K-Pop Idol Keyring,Generic Kpop Goods,19.99,8000,60,70,11923,kpop keyring;idol merch;kpop accessories,0,domeggook-com;ownerclan-com;idolgoods-co-kr
kpop-goods,22,케이팝 아이돌 스티커 세트,K-Pop Idol Sticker Set,Generic Kpop Goods,9.99,4000,60,30,11923,kpop stickers;idol stickers;kpop deco,0,domeggook-com;sellmoa-com;idolgoods-co-kr
kpop-goods,23,케이팝 아이돌 폰케이스,K-Pop Idol Phone Case,Generic Kpop Goods,24.99,10000,60,100,11923,kpop phone case;idol phone case;kpop merch,0,domeggook-com;dometopia-com;idolgoods-co-kr
kpop-goods,24,케이팝 아이돌 미니 배너,K-Pop Idol Mini Banner,Generic Kpop Goods,17.5,7000,60,50,11923,kpop banner;idol banner;kpop display,0,domeggook-com;ownerclan-com;idolgoods-co-kr
