rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,"BTS, 스트레이키즈 등 주요 그룹의 한정판 굿즈와 럭키드로우 포토카드 수요가 폭발적으로 증가하며 판매량을 견인하고 있습니다. 특히 한국에서만 구할 수 있는 팝업스토어, 팬미팅 상품의 희소 가치가 높아 마진율이 높게 형성됩니다."
2,auto-parts,자동차 부품,Auto Parts,red,1,4,35,"현대, 기아차의 글로벌 판매량 증가에 따라 순정 부품 및 애프터마켓 부품 수요가 꾸준히 강세를 보이고 있습니다. 특히 DIY 수리 문화가 발달한 북미 시장에서의 판매가 활발합니다."
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-1,5,50,"일본 시장을 중심으로 선크림, 세럼 등 고기능성 스킨케어 제품이 판매 상위권을 독점하고 있습니다. 효능과 합리적인 가격을 바탕으로 동남아, 남미 등 신흥 시장에서도 인기가 확산되는 추세입니다."
4,drones,드론/액세서리,Drones & Accessories,red,11,3,25,개인 영상 촬영 및 취미용 드론 수요 증가로 꾸준히 최상위 판매량을 기록하는 카테고리입니다. 특히 휴대성이 좋은 소형 짐벌 카메라의 인기가 높습니다.
5,lego-blocks,조립 완구/레고,LEGO & Building Blocks,red,2,4,30,단종된 레고 세트를 중심으로 '레테크(레고+재테크)' 트렌드가 확산되며 수집가들의 수요가 급증했습니다. 희소성 있는 제품은 높은 가격에 거래되어 안정적인 수익을 기대할 수 있습니다.
6,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-2,4,40,국내 컨템포러리 브랜드와 중고 명품 리셀 시장이 동반 성장하고 있습니다. 특히 K팝 스타들이 착용한 아이템이 바이럴되며 해외 팬들의 즉각적인 구매로 이어지는 경향이 강합니다.
7,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,2,5,55,"일본 시장에서 립 틴트, 아이섀도, 치크 등 주요 색조 부문 판매 순위 상위권을 한국 브랜드가 석권하며 K-뷰티의 저력을 보여주고 있습니다. 혁신적인 제형과 트렌디한 컬러가 인기 요인입니다."
8,trading-cards,수집용 트레이딩 카드,Trading Cards,blue,-2,4,38,"K팝 포토카드 외에도 포켓몬, 유희왕 등 TCG(Trading Card Game) 카드의 인기가 높습니다. 특히 한정판 게임 콜라보 상품은 출시 직후 높은 프리미엄에 거래됩니다."
9,character-goods,캐릭터 굿즈,Character Goods,blue,-1,3,48,"메이플스토리, 티니핑, 핑크퐁 등 한국 IP 기반 캐릭터 상품이 꾸준히 인기를 끌고 있습니다. 특히 게임, 애니메이션 콜라보 굿즈는 글로벌 팬덤의 높은 수요를 보입니다."
10,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,3,3,22,"고성능 메모리, SSD 등 한국산 컴퓨터 부품은 높은 신뢰도를 바탕으로 전 세계적으로 꾸준한 수요를 보입니다. 게이밍 관련 주변기기 판매도 강세입니다."
