cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty-skincare,1,조선미녀 맑은쌀 선크림 SPF50+ PA++++,Beauty of Joseon Relief Sun : Rice + Probiotics SPF50+ PA++++,조선미녀,17.99,7500,45,80,26395,korean sunscreen;beauty of joseon;rice sunscreen,5,umma-io;q-depot-com;cosmeticstory-co-kr;domeggook-com
k-beauty-skincare,2,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,코스알엑스,21.5,9200,48,150,177641,cosrx;snail mucin;korean essence,3,umma-io;kocosupply-com;q-depot-com;ownerclan-com
k-beauty-skincare,3,라운드랩 자작나무 수분 선크림 SPF50+ PA++++,Round Lab Birch Juice Moisturizing Sun Cream SPF50+ PA++++,라운드랩,22,9800,46,85,26395,round lab;birch sunscreen;kbeauty spf,7,umma-io;cosmeticstory-co-kr;q-depot-com;dometopia-com
k-beauty-skincare,4,아누아 어성초 77% 수딩 토너,Anua Heartleaf 77% Soothing Toner,아누아,24.9,11000,51,300,177641,anua toner;heartleaf;korean toner,8,umma-io;q-depot-com;kocosupply-com;domeggook-com
k-beauty-skincare,5,스킨1004 마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,스킨1004,19.5,8500,47,80,26395,skin1004;centella;sun serum,6,umma-io;q-depot-com;cosmeticstory-co-kr;onch3-co-kr
k-beauty-skincare,6,토리든 다이브인 저분자 히알루론산 세럼,Torriden DIVE-IN Low Molecular Hyaluronic Acid Serum,토리든,23,10500,50,110,177641,torriden;hyaluronic acid;korean serum,4,umma-io;q-depot-com;kocosupply-com;domaemae-co-kr
k-beauty-skincare,7,메디힐 콜라겐 채움 패드,Mediheal Collagen Ampoule Pad,메디힐,25.5,11500,52,250,177641,mediheal;toner pads;collagen pad,2,umma-io;q-depot-com;domeggook-com;ownerclan-com
k-beauty-skincare,8,넘버즈인 3번 보들보들 결 세럼,Numbuzin No. 3 Skin Softening Serum,넘버즈인,26,12000,53,120,177641,numbuzin;no 3 serum;korean skincare,1,umma-io;q-depot-com;cosmeticstory-co-kr;dometopia-com
k-beauty-skincare,9,마녀공장 퓨어 클렌징 오일,Manyo Factory Pure Cleansing Oil,마녀공장,28,13000,55,250,11849,manyo factory;cleansing oil;korean cleanser,0,umma-io;q-depot-com;kocosupply-com;onch3-co-kr
k-beauty-skincare,10,이니스프리 그린티 히알루론산 세럼,Innisfree Green Tea Hyaluronic Acid Serum,이니스프리,27.5,12500,54,140,177641,innisfree;green tea serum;hyaluronic acid,-1,umma-io;cosmeticstory-co-kr;q-depot-com;domaemae-co-kr
k-beauty-skincare,11,라네즈 크림 스킨 토너,Laneige Cream Skin Cerapeptide™ Toner & Moisturizer,라네즈,33,15000,58,220,177641,laneige;cream skin;korean toner,2,umma-io;q-depot-com;ktradehub-com;domeggook-com
k-beauty-skincare,12,닥터자르트 시카페어 크림,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment,닥터자르트,40,18000,60,100,31759,dr jart;cicapair;color correcting,1,umma-io;q-depot-com;cosmeticstory-co-kr;ownerclan-com
k-beauty-skincare,13,설화수 윤조에센스,Sulwhasoo First Care Activating Serum,설화수,85,40000,62,200,177641,sulwhasoo;first care serum;hanbang,0,umma-io;q-depot-com;ktradehub-com;dometopia-com
k-beauty-skincare,14,에스트라 아토베리어365 크림,Aestura Atobarrier365 Cream,에스트라,30,14000,56,130,31759,aestura;atobarrier;korean moisturizer,3,umma-io;q-depot-com;kocosupply-com;onch3-co-kr
k-beauty-skincare,15,아비브 어성초 스티커 카밍 마스크,Abib Gummy Sheet Mask Heartleaf Sticker,아비브,20,9000,45,350,177643,abib;sheet mask;heartleaf mask,1,umma-io;q-depot-com;cosmeticstory-co-kr;domaemae-co-kr
k-beauty-skincare,16,코스알엑스 약산성 굿모닝 젤 클렌저,COSRX Low pH Good Morning Gel Cleanser,코스알엑스,12,5000,42,180,11849,cosrx cleanser;low ph;gel cleanser,0,umma-io;kocosupply-com;q-depot-com;domeggook-com
k-beauty-skincare,17,라운드랩 1025 독도 토너,Round Lab 1025 Dokdo Toner,라운드랩,21,9500,49,250,177641,round lab;dokdo toner;exfoliating toner,2,umma-io;cosmeticstory-co-kr;q-depot-com;ownerclan-com
k-beauty-skincare,18,이니스프리 화산송이 모공 클레이 마스크,Innisfree Pore Clearing Clay Mask with Volcanic Clusters,이니스프리,16,7000,44,160,177643,innisfree;clay mask;volcanic cluster,-2,umma-io;q-depot-com;ktradehub-com;dometopia-com
k-beauty-skincare,19,설화수 자음생크림,Sulwhasoo Concentrated Ginseng Renewing Cream,설화수,140,50000,68,250,31759,sulwhasoo;ginseng cream;anti aging,1,umma-io;q-depot-com;ktradehub-com;onch3-co-kr
k-beauty-skincare,20,라네즈 워터 슬리핑 마스크,Laneige Water Sleeping Mask,라네즈,29,13500,57,120,177643,laneige;sleeping mask;overnight mask,0,umma-io;cosmeticstory-co-kr;q-depot-com;domaemae-co-kr
k-beauty-skincare,21,아누아 어성초 80% 수분 진정 앰플,Anua Heartleaf 80% Moisture Soothing Ampoule,아누아,27,12800,54,90,177641,anua ampoule;soothing serum;kbeauty ampoule,4,umma-io;kocosupply-com;q-depot-com;domeggook-com
k-beauty-skincare,22,닥터자르트 세라마이딘 크림,Dr.Jart+ Ceramidin Skin Barrier Moisturizing Cream,닥터자르트,38,17500,59,100,31759,dr jart;ceramidin;barrier cream,1,umma-io;q-depot-com;ownerclan-com;dometopia-com
k-beauty-skincare,23,스킨1004 센텔라 앰플,SKIN1004 Madagascar Centella Ampoule,스킨1004,18,8000,46,150,177641,skin1004;centella ampoule;calming serum,3,umma-io;cosmeticstory-co-kr;q-depot-com;onch3-co-kr
k-beauty-skincare,24,프로폴리스 시너지 토너,Propolis Synergy Toner,코스알엑스,19,8800,48,200,177641,propolis toner;hydrating toner;korean skincare,0,umma-io;q-depot-com;kocosupply-com;domaemae-co-kr
k-beauty-skincare,25,비타민C 23 세럼,The Vitamin C 23 Serum,코스알엑스,25,11800,52,70,177641,vitamin c serum;brightening serum;korean vitamin c,1,umma-io;q-depot-com;domeggook-com;ownerclan-com
k-beauty-skincare,26,갈락토미 나이아신 에센스,Galactomy Niacin Essence,마녀공장,29.5,13800,55,110,177641,galactomyces;niacinamide;brightening essence,-1,umma-io;cosmeticstory-co-kr;q-depot-com;dometopia-com
k-beauty-skincare,27,쑥 카밍 크림,Mugwort Calming Cream,라운드랩,26.5,12500,53,130,31759,mugwort cream;calming moisturizer;kbeauty cream,2,umma-io;q-depot-com;kocosupply-com;onch3-co-kr
k-beauty-skincare,28,자작나무 수분 크림,Birch Juice Moisturizing Cream,라운드랩,28.5,13200,56,130,31759,birch cream;hydrating moisturizer;korean cream,3,umma-io;q-depot-com;cosmeticstory-co-kr;domaemae-co-kr
