rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-beauty-skincare,K-뷰티 스킨케어,K-Beauty Skincare,red,3,5,40,"리들샷, PDRN 등 기능성 성분 기반 제품이 시장을 주도. 신제품 주기가 매우 빨라 재고 관리가 핵심입니다."
2,k-pop-albums-photocards,K팝 앨범 및 포토카드,K-Pop Albums & Photocards,red,-1,5,20,초동 물량 확보 및 미공개 포토카드 등 특전 제공이 판매의 관건. 팬덤별 정교한 타겟팅이 필수적입니다.
3,korean-snacks-ramen,한국 과자 및 라면,Korean Snacks & Ramen,red,1,4,30,불닭볶음면 등 매운맛 제품이 스테디셀러. 다양한 맛을 묶은 번들 상품이나 신제품 선론칭이 유리합니다.
4,k-fashion-apparel,K-패션 의류,K-Fashion Apparel,red,0,5,45,동대문 기반의 빠른 트렌드 반영이 중요. 사이즈 및 핏 관련 상세 정보 제공으로 반품률을 낮춰야 합니다.
5,k-pop-official-merch,K팝 공식 굿즈,K-Pop Official Merch,red,5,4,35,"공식 응원봉 및 시즌 그리팅 수요가 높으며, 콘서트 시즌에 맞춰 프로모션을 기획하는 것이 효과적입니다."
6,korean-stationery-planners,한국 문구 및 다이어리,Korean Stationery & Planners,blue,2,3,50,"다이어리 꾸미기(다꾸) 문화와 함께 성장 중. 감성적인 디자인의 스티커, 마스킹테이프가 인기입니다."
7,korean-health-supplements,한국 건강기능식품,Korean Health Supplements,blue,4,3,60,"홍삼, 콜라겐, 유산균 제품의 인지도가 높습니다. 스틱형, 젤리형 등 섭취가 간편한 형태가 선호됩니다."
8,k-drama-movie-goods,K-드라마 및 영화 굿즈,K-Drama & Movie Goods,blue,-2,2,40,글로벌 OTT 흥행작 관련 상품 수요가 꾸준합니다. 한정판 블루레이나 OST 앨범이 주요 판매 상품입니다.
9,korean-traditional-crafts,한국 전통 공예품,Korean Traditional Crafts,blue,1,2,65,"나전칠기, 보자기 등 고가이지만 독창성으로 소장 가치가 높음. 제품의 역사와 장인의 스토리를 함께 전달하는 것이 중요합니다."
10,korean-kitchenware,한국 주방용품,Korean Kitchenware,blue,3,3,55,"쿡방, 먹방의 영향으로 뚝배기, 스테인리스 밀폐용기 등 한국 식기류에 대한 관심이 증가하고 있습니다."
11,k-webtoon-goods,K-웹툰 굿즈,K-Webtoon Goods,blue,6,2,48,인기 웹툰의 애니화 시점에 맞춰 관련 굿즈 수요가 폭발적으로 증가하는 경향이 있습니다.
12,korean-baby-products,한국 유아용품,Korean Baby Products,blue,0,3,50,안전한 성분과 귀여운 디자인을 내세운 유아용 스킨케어 및 의류가 인기. KC 인증 등 신뢰도 확보가 중요합니다.
13,korean-instant-coffee-mix,한국 인스턴트 커피믹스,Korean Instant Coffee Mix,blue,-1,2,25,K-드라마 PPL 효과로 꾸준한 수요가 발생. 저마진 상품이므로 다른 식품과 번들 판매 전략이 유효합니다.
14,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,7,4,42,홈케어 트렌드에 따라 고기능성 뷰티 디바이스 시장이 성장 중. 사용법 영상 등 상세 콘텐츠 제공이 필수적입니다.
15,korean-pet-supplies,한국 반려동물 용품,Korean Pet Supplies,blue,2,3,55,반려동물을 위한 독특한 디자인의 의류와 건강을 고려한 수제 간식이 인기 아이템입니다.
16,k-fashion-accessories,K-패션 액세서리,K-Fashion Accessories,blue,-3,4,60,의류보다 저렴하고 배송이 용이해 진입장벽이 낮습니다. 아이돌이 착용한 제품이 빠르게 유행합니다.
17,korean-traditional-tea-snacks,한국 전통차 및 다과,Korean Traditional Tea & Snacks,blue,4,2,58,"약과, 유과 등 전통 간식에 대한 관심이 증가. 고급스러운 패키징으로 선물용 수요를 공략할 수 있습니다."
18,manhwa-art-books,만화 및 아트북,Manhwa & Art Books,blue,5,2,38,웹툰의 인기가 단행본 출판으로 이어지며 새로운 시장 형성. 영문판 수요가 꾸준히 증가하고 있습니다.
19,korean-socks,한국 양말,Korean Socks,blue,1,3,70,저렴한 가격과 독특한 디자인으로 다량 구매가 많습니다. 마진율이 높아 초보 셀러에게 적합한 아이템입니다.
20,k-indie-music-goods,K-인디음악 굿즈,K-Indie Music Goods,blue,8,1,45,"특정 아티스트의 팬덤을 타겟으로 하는 틈새시장. LP, 한정판 굿즈 등 소장 가치가 높은 상품이 중심입니다."
