rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,"BTS, 스트레이 키즈 등 주요 그룹의 컴백과 오프라인 이벤트 한정 굿즈가 판매를 견인하며 압도적인 1위를 유지하고 있습니다."
2,lego-blocks,조립 완구/레고,LEGO & Building Blocks,red,5,4,35,단종된 제품의 희소 가치가 부각되며 '레테크(레고+재테크)' 수요가 꾸준히 강세를 보이고 있습니다.
3,drones,드론/액세서리,Drones & Accessories,red,3,4,25,영상 콘텐츠 제작 수요 증가와 함께 분기 매출 1위를 기록하는 등 강력한 판매 동력을 보여주고 있습니다.
4,trading-cards,수집용 트레이딩 카드,Trading Cards,red,-2,5,50,게임 IP 기반의 '스텔라 블레이드 부스터 팩'이 개별 상품 판매량 1위를 차지하며 카테고리 전체 성장을 이끌었습니다.
5,character-goods,캐릭터 굿즈,Character Goods,red,4,4,40,'메이플스토리x롯데월드' 콜라보 상품 등 한국 IP 기반 굿즈가 높은 인기를 얻으며 꾸준한 판매량을 보입니다.
6,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,blue,-1,5,30,"미국, 일본 등 주요 시장에서 꾸준한 수요를 보이며 K-뷰티의 핵심 카테고리로 자리매김하고 있습니다."
7,auto-parts,자동차 부품,Auto Parts,blue,-4,3,25,안정적인 수요를 바탕으로 여러 분기 동안 매출 상위권을 유지하고 있는 스테디셀러 카테고리입니다.
8,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-4,4,35,"K팝 스타들이 착용한 아이템이 화제가 되며, 특정 브랜드 상품의 판매량이 급증하는 트렌드를 보입니다."
9,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,3,4,40,블랙핑크 로제의 스트레스 볼로 알려진 '니도 나이스 큐브'가 개별 상품 판매량 2위를 기록하며 인기를 끌고 있습니다.
10,k-food,K-푸드/스낵,K-Food & Snacks,blue,3,3,20,"글로벌 시장에서 K-푸드 수출액이 꾸준히 증가하며, 스낵류를 중심으로 안정적인 판매를 보이고 있습니다."
11,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,8,3,45,'나 혼자만 레벨업' 등 인기 웹툰 IP 기반 트레이딩 카드가 수집가들 사이에서 좋은 반응을 얻고 있습니다.
12,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,2,3,22,"고성능 PC에 대한 수요와 함께 특정 부품들이 꾸준히 판매되고 있으며, 안정적인 시장을 형성하고 있습니다."
13,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,-2,4,28,일본 시장을 중심으로 K-헤어 제품 판매량이 급증하며 새로운 K-뷰티 성장 동력으로 주목받고 있습니다.
14,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,13,3,40,홈뷰티 트렌드 확산으로 일본 시장에서 뷰티 디바이스 판매량이 크게 증가하며 유망 카테고리로 부상했습니다.
15,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,1,5,30,"경쟁은 치열하지만, K-콘텐츠와 연계된 디자인 상품들이 꾸준한 판매를 보이며 시장을 유지하고 있습니다."
16,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-8,3,33,미국 프리미엄 양말 브랜드 '밤바스' 등 특정 인기 상품을 중심으로 한국 셀러들이 높은 판매량을 기록하고 있습니다.
17,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,-2,3,38,"K-뷰티의 영역이 확장되면서, 먹는 콜라겐이나 건강 보조 식품에 대한 해외 수요가 점차 증가하고 있습니다."
18,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,-8,4,42,독특하고 아기자기한 디자인의 한국 문구류가 10-20대 해외 팬들 사이에서 꾸준히 인기를 끌고 있습니다.
19,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,4,3,48,인기 드라마 방영 시기에 맞춰 관련 OST 앨범이나 소품 등의 판매가 일시적으로 증가하는 경향이 있습니다.
20,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,-2,5,28,"스킨케어에 비해 경쟁이 치열하지만, 신생 인디 브랜드를 중심으로 일본 시장에서 좋은 반응을 얻고 있습니다."
21,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,4,3,35,유명 e스포츠팀의 유니폼이나 한정판 굿즈가 팬덤을 중심으로 꾸준히 거래되는 틈새 시장을 형성하고 있습니다.
22,auto-accessories,자동차 액세서리,Auto Accessories,blue,-5,3,25,자동차 부품과 더불어 차량용 편의용품 및 액세서리도 안정적인 판매량을 보이며 동반 성장하고 있습니다.
23,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,-2,2,30,한국의 고품질 캠핑 장비가 해외 캠핑 애호가들 사이에서 점차 인지도를 넓혀가고 있는 추세입니다.
24,kitchen-ware,K-주방용품,Korean Kitchenware,blue,-2,2,28,K-푸드의 인기에 힘입어 한국식 조리도구나 식기류에 대한 관심이 증가하며 관련 매출이 발생하고 있습니다.
25,golf-gear,골프 용품,Golf Equipment,blue,-5,2,26,한국 브랜드의 골프 의류 및 용품이 디자인과 기능성을 바탕으로 해외 시장에서 점진적인 성장을 보입니다.
26,pet-supplies,반려동물 용품,Pet Supplies,blue,-2,3,32,"디자인과 아이디어가 돋보이는 한국산 반려동물 의류, 장난감 등이 해외 집사들의 눈길을 끌고 있습니다."
27,fishing-gear,낚시 용품,Fishing Equipment,blue,-1,2,24,고품질의 한국산 낚싯대와 릴이 전문가들 사이에서 입소문을 타며 꾸준한 수요를 창출하고 있습니다.
28,home-decor,K-홈데코,Korean Home Decor,blue,0,3,35,한국의 미니멀하고 감성적인 인테리어 소품이 SNS를 통해 알려지며 해외 소비자들의 관심이 증가하고 있습니다.
29,modern-hanbok,한복 모던,Modern Hanbok,blue,0,2,45,"K팝 아이돌의 무대 의상 등으로 노출이 늘면서, 일상복으로 개량된 모던 한복에 대한 관심이 높아지고 있습니다."
30,traditional-craft,전통 공예품,Traditional Craft,blue,0,2,55,한국의 미가 담긴 나전칠기 소품이나 자개 장식품 등이 고가의 취미 및 수집품으로 거래되고 있습니다.
