cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,BTS Butter 앨범 포토카드,BTS Butter Album Photocards,위버스샵,25,10000,60,50,18342,kpop;bts;photocard,0,domeggook-com;ownerclan-com;funpick-co-kr
kpop-goods,2,BLACKPINK Light Stick Ver.2,BLACKPINK Official Light Stick Ver.2,YG SELECT,65,30000,53,300,18342,kpop;blackpink;lightstick,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,3,Stray Kids ODDINARY 앨범,Stray Kids ODDINARY Album,JYP SHOP,35,15000,57,400,18342,kpop;straykids;album,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,4,NCT 127 Sticker 앨범,NCT 127 Sticker Album,SMTOWN &STORE,30,13000,56,350,18342,kpop;nct127;album,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,5,IVE ELEVEN 앨범,IVE ELEVEN Album,케이타운포유,28,12000,57,320,18342,kpop;ive;album,0,domeggook-com;dometopia-com;funpick-co-kr
kpop-goods,6,TWICE 공식 응원봉 Candy Bong Z,TWICE Official Light Stick Candy Bong Z,JYP SHOP,60,28000,53,280,18342,kpop;twice;lightstick,0,domeggook-com;ownerclan-com;sellmoa-com
kpop-goods,7,SEVENTEEN 공식 응원봉 Ver.2,SEVENTEEN Official Light Stick Ver.2,위버스샵,68,32000,53,310,18342,kpop;seventeen;lightstick,0,domeggook-com;dometopia-com;domema-com
kpop-goods,8,ENHYPEN DIMENSION : DILEMMA 앨범,ENHYPEN DIMENSION : DILEMMA Album,위버스샵,32,14000,56,380,18342,kpop;enhypen;album,0,domeggook-com;ownerclan-com;funpick-co-kr
kpop-goods,9,ITZY CRAZY IN LOVE 앨범,ITZY CRAZY IN LOVE Album,JYP SHOP,29,12500,57,330,18342,kpop;itzy;album,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,10,aespa Savage 앨범,aespa Savage Album,SMTOWN &STORE,27,11500,57,310,18342,kpop;aespa;album,0,domeggook-com;ownerclan-com;domema-com
kpop-goods,11,BTS MAP OF THE SOUL : PERSONA 앨범,BTS MAP OF THE SOUL : PERSONA Album,위버스샵,30,13000,56,370,18342,kpop;bts;album,0,domeggook-com;dometopia-com;funpick-co-kr
kpop-goods,12,TXT The Dream Chapter: MAGIC 앨범,TXT The Dream Chapter: MAGIC Album,위버스샵,28,12000,57,340,18342,kpop;txt;album,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,13,RED VELVET Queendom 앨범,RED VELVET Queendom Album,SMTOWN &STORE,26,11000,57,300,18342,kpop;redvelvet;album,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,14,MONSTA X Fatal Love 앨범,MONSTA X Fatal Love Album,케이타운포유,29,12500,57,350,18342,kpop;monstax;album,0,domeggook-com;dometopia-com;funpick-co-kr
kpop-goods,15,ATEEZ ZERO : FEVER Part.3 앨범,ATEEZ ZERO : FEVER Part.3 Album,메이크스타,31,13500,56,360,18342,kpop;ateez;album,0,domeggook-com;ownerclan-com;domema-com
kpop-goods,16,KPOP 아이돌 포토카드 세트,KPOP Idol Photocard Set,스냅스,15,6000,60,40,18342,kpop;photocard;idol,0,domeggook-com;sellmoa-com;supercat-co-kr
kpop-goods,17,KPOP 아이돌 키링,KPOP Idol Keychain,코코다이브,12,5000,58,30,18342,kpop;keychain;merch,0,domeggook-com;dometopia-com;funpick-co-kr
kpop-goods,18,KPOP 아이돌 슬로건,KPOP Idol Slogan,위드뮤,20,8500,57,100,18342,kpop;slogan;fanmerch,0,domeggook-com;ownerclan-com;domema-com
kpop-goods,19,KPOP 아이돌 앨범 포스터,KPOP Idol Album Poster,알라딘,10,4000,60,80,18342,kpop;poster;album,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,20,KPOP 아이돌 뱃지,KPOP Idol Badge Pin,점프업이엔티,8,3000,62,30,18342,kpop;badge;pin,0,domeggook-com;dometopia-com;supercat-co-kr
kpop-goods,21,KPOP 아이돌 인형,KPOP Idol Plush Doll,디어마이뮤즈,40,18000,55,250,18342,kpop;plush;doll,0,domeggook-com;ownerclan-com;funpick-co-kr
