cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,BTS 포토카드 세트,BTS Photo Card Set,위버스샵,25,10000,45,80,18460,kpop;photocard;bts,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,2,블랙핑크 응원봉,BLACKPINK Light Stick,YG SELECT,60,25000,40,300,18460,blackpink;lightstick;kpop,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,3,스트레이키즈 앨범,Stray Kids Album,JYP SHOP,35,15000,42,400,18460,straykids;kpop album;jyp,0,ownerclan-com;dometopia-com;domewh-com
kpop-goods,4,NCT 공식 포스터,NCT Official Poster,SMTOWN &STORE,18,7500,40,150,18460,nct;kpop poster;smtown,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,5,아이브 시즌 그리팅,IVE Season's Greetings,케이타운포유,50,20000,45,500,18460,ive;seasons greetings;kpop,0,ownerclan-com;domema-com;domemall-co-kr
kpop-goods,6,세븐틴 캐럿봉,SEVENTEEN Carat Bong,위버스샵,65,28000,38,350,18460,seventeen;caratbong;kpop,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,7,투모로우바이투게더 앨범,TXT Album,위버스샵,32,14000,40,420,18460,txt;kpop album;weverse,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,8,뉴진스 포토카드,NewJeans Photo Card,위버스샵,20,8500,48,70,18460,newjeans;photocard;kpop,0,ownerclan-com;dometopia-com;domewh-com
kpop-goods,9,에스파 공식 굿즈,aespa Official Goods,SMTOWN &STORE,28,12000,40,200,18460,aespa;kpop goods;smtown,0,domeggook-com;onchannel-co-kr;biz-wemakeprice-com
kpop-goods,10,르세라핌 앨범,LE SSERAFIM Album,위버스샵,30,13000,40,450,18460,lesserafim;kpop album;weverse,0,domeggook-com;ownerclan-com;dometopia-com
