rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,신규 아이돌 그룹의 대규모 팬미팅 및 팝업 스토어 이벤트와 연계된 한정판 굿즈 판매가 급증하며 카테고리 성장을 견인했습니다. 특히 포토카드는 희소성 높은 앨범 특전(POB) 및 럭키드로우 상품이 고가에 거래되며 경쟁이 매우 치열합니다.
2,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,3,4,65,"미국 시장을 중심으로 K-뷰티의 인기가 지속적으로 상승하며, 스킨케어 제품이 판매를 주도하고 있습니다. 특히 과학적 효능을 강조하는 기능성 세럼과 보습 크림의 반복 구매율이 높게 나타나고 있습니다."
3,auto-parts,자동차 부품,Auto Parts,red,1,4,35,"eBay의 주요 카테고리 중 하나로, 한국산 자동차의 글로벌 보급률 증가에 따라 순정 부품(OEM) 수요가 꾸준합니다. 특히 DIY 수리 및 차량 복원을 즐기는 해외 매니아층의 수요가 높습니다."
4,k-fashion,K-패션/리셀,K-Fashion & Resell,red,2,5,30,"동대문 기반의 최신 유행 스타일과 함께, 한정판 스니커즈 및 명품 리셀 시장이 활성화되어 있습니다. K-POP 아티스트가 착용한 브랜드에 대한 관심이 즉각적인 판매로 이어지는 경향이 강합니다."
5,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,red,13,3,55,"건강과 미용을 동시에 추구하는 트렌드에 따라 콜라겐, 프로바이오틱스 등 한국산 건강기능식품의 인기가 높습니다. 반복 구매가 많은 소비성 제품으로 안정적인 수익 창출이 가능합니다."
6,trading-cards,수집용 트레이딩 카드,Trading Cards,blue,-4,4,40,"K-POP 아이돌 포토카드 외에도, 'Stellar Blade'와 같은 인기 게임 IP 기반의 트레이딩 카드가 새로운 베스트셀러로 등극했습니다. 한정판 카드의 수집 가치가 높아지며 높은 마진을 기대할 수 있습니다."
7,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,-4,3,25,"단종된 레고 세트가 '레테크(레고+재테크)' 수단으로 주목받으며, 희소성 있는 제품을 중심으로 꾸준한 판매량을 보이고 있습니다. 특히 성인 팬층(AFOL)의 구매력이 높습니다."
8,character-goods,캐릭터 굿즈,Character Goods,blue,0,4,50,"메이플스토리와 같은 유명 게임 IP와 테마파크의 콜라보 굿즈가 높은 판매량을 기록했습니다. 인기 캐릭터의 인형, 키링, 의류 등 다양한 상품이 팬덤을 중심으로 소비됩니다."
9,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,3,4,60,"스킨케어의 인기에 힘입어 색조 화장품에 대한 관심도 증가하고 있습니다. 특히 쿠션 파운데이션, 립 틴트 등 혁신적인 제품들이 인기를 끌고 있습니다."
10,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,3,5,40,"최신 스마트폰 모델 출시에 맞춰 보호 케이스, 화면 보호 필름 등의 수요가 꾸준히 발생합니다. K-POP 및 캐릭터 디자인을 접목한 제품들이 높은 경쟁력을 가집니다."
