rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,"팝업스토어, 팬미팅 등 오프라인 행사와 연계된 한정판 상품들의 판매가 두드러지며 시장을 견인하고 있습니다. 특히 BTS, 스트레이키즈 등 인기 그룹의 포토카드는 여전히 최고가에 거래되며 높은 수요를 증명합니다."
2,auto-parts,자동차 부품,Auto Parts,red,5,4,35,현대 및 기아 자동차의 순정 부품(OEM)에 대한 해외 수요가 꾸준히 강세를 보이고 있습니다. 특히 미국 시장을 중심으로 DIY 수리 및 부품 교체 수요가 높아 안정적인 판매량을 기록 중입니다.
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,3,5,50,"미국이 중국을 제치고 한국 화장품의 최대 시장으로 부상하며 스킨케어 제품 수출이 기록적인 성장을 이어가고 있습니다. COSRX, SKIN1004 등 특정 브랜드 제품들이 꾸준히 베스트셀러 목록에 오르고 있습니다."
4,trading-cards,수집용 트레이딩 카드,Trading Cards,red,0,4,30,게임 '스텔라 블레이드'의 부스터 팩이 한국 셀러 판매 상품 중 전체 1위를 차지하는 등 게임 IP 기반 트레이딩 카드가 강세입니다. K팝 아이돌 포토카드와 함께 수집 시장의 핵심 카테고리로 자리 잡았습니다.
5,character-goods,캐릭터 굿즈,Character Goods,red,0,4,40,"'메이플스토리'와 롯데월드 콜라보 상품이 판매 상위권에 오르는 등, 유명 게임 및 캐릭터 IP를 활용한 상품들이 높은 인기를 얻고 있습니다. 티니핑, 핑크퐁 등 한국 캐릭터 상품 역시 꾸준한 판매를 보입니다."
6,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,6,3,25,"한국의 전체 수출 품목 중 컴퓨터가 기록적인 증가율을 보이며, eBay 내 관련 부품 및 주변기기 판매도 동반 상승하고 있습니다. 특히 고성능 메모리, SSD 등의 수요가 높습니다."
7,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,4,3,48,"웹툰 IP의 드라마화가 활발해지면서 원작 굿즈에 대한 관심이 증가하고 있습니다. 포토카드, 아크릴 스탠드, 스티커 등 다양한 형태의 공식 굿즈들이 전문샵을 통해 판매되고 있습니다."
8,k-food,K-푸드/스낵,K-Food & Snacks,blue,2,4,38,"한정판 스낵, 간편식(HMR) 등 한국에서만 맛볼 수 있는 식품에 대한 수요가 높습니다. 특히 냉동김밥, 떡볶이, 라면 등은 꾸준한 인기 품목입니다."
9,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-1,5,30,"젠틀몬스터, 스탠드오일 등 국내 컨템포러리 패션 브랜드들이 해외에서 좋은 반응을 얻고 있습니다. 한정판 스니커즈 등 리셀 시장도 활발하게 형성되어 있습니다."
10,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,-8,3,20,조립 완구(Building toys) 카테고리는 2026년 2분기 가장 높은 판매 성장률을 기록한 분야 중 하나입니다. 한정판 레고나 국내 캐릭터 블록 상품들이 인기를 끌고 있습니다.
11,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,3,4,40,집에서 손쉽게 피부 관리를 할 수 있는 홈 뷰티 디바이스가 일본 시장을 중심으로 폭발적인 성장세를 보이고 있습니다. 기술력과 편의성을 앞세운 제품들이 차세대 성장 동력으로 주목받고 있습니다.
12,auto-accessories,자동차 액세서리,Auto Accessories,blue,10,3,33,V2L(Vehicle-to-Load) 커넥터와 같은 전기차 전용 액세서리나 차량용 매트 등 실용적인 제품들의 수요가 꾸준합니다. 자동차 부품과 더불어 안정적인 판매 카테고리입니다.
13,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,-4,4,28,"블랙핑크 로제가 사용하는 스트레스볼로 알려진 'NeeDoh Nice Cube'가 전체 상품 판매 2위를 기록하는 등, 유명인이 사용하는 장난감이나 수집품이 높은 인기를 얻고 있습니다."
14,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,3,4,55,"K-뷰티의 영역이 바르는 화장품을 넘어 먹는 이너뷰티 제품으로 확장되고 있습니다. 특히 콜라겐, 글루타치온, 다이어트 보조제 등의 인기가 높습니다."
15,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,-2,3,45,"스킨케어뿐만 아니라 K-헤어케어 제품군도 눈에 띄는 성과를 보이며 뷰티 카테고리의 성장을 뒷받침하고 있습니다. 기능성 샴푸, 트리트먼트 제품들이 좋은 반응을 얻고 있습니다."
16,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,2,3,60,"독특한 디자인의 스티커, 마스킹테이프, 다이어리 등 다이어리 꾸미기(다꾸) 관련 상품들이 해외 팬들에게 꾸준히 사랑받고 있습니다. 마진율이 높아 소규모 셀러에게 유리한 품목입니다."
17,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,6,3,30,"실용성과 디자인을 겸비한 한국의 캠핑 브랜드들이 인지도를 높여가고 있습니다. 특히 텐트, 캠핑 의자, 조리도구 등의 수요가 꾸준합니다."
18,drones,드론/액세서리,Drones & Accessories,blue,-15,2,20,2025년 기준 드론은 eBay에서 한국 셀러들이 가장 많이 판매한 카테고리였습니다. 고성능 드론 및 관련 액세서리에 대한 수요는 여전히 유효합니다.
19,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,-4,5,65,"K팝, 웹툰 등 인기 IP와 결합한 스마트폰 케이스, 그립톡 등은 꾸준한 수요를 보입니다. 경쟁이 치열하지만, 독창적인 디자인으로 승부할 경우 높은 마진을 기대할 수 있습니다."
20,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,0,4,50,"스킨케어에 비해 성장세는 완만하지만, 쿠션 파운데이션, 립틴트 등 K-뷰티를 대표하는 색조 제품들은 여전히 인기 품목입니다."
21,golf-gear,골프 용품,Golf Equipment,blue,4,2,25,한국 골프웨어의 세련된 디자인과 기능성이 해외 골퍼들에게 어필하고 있습니다. 골프 거리측정기와 같은 IT 기술이 접목된 용품들도 경쟁력이 있습니다.
22,kitchen-ware,K-주방용품,Korean Kitchenware,blue,2,2,35,"K-푸드의 인기에 힘입어 뚝배기, 돌솥, 수저 세트 등 한국적인 주방용품에 대한 관심이 높아지고 있습니다. 한국 드라마에 등장한 제품들이 특히 인기가 많습니다."
23,pet-supplies,반려동물 용품,Pet Supplies,blue,3,3,40,"디자인과 아이디어가 돋보이는 한국의 반려동물 의류, 장난감, 이동가방 등이 해외 펫팸족들에게 좋은 반응을 얻고 있습니다."
24,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-8,3,30,"K-패션의 영향력이 남성 카테고리로도 확장되고 있습니다. 특히 모자, 벨트, 가방 등 패션 잡화류의 수요가 꾸준히 발생하고 있습니다."
25,fishing-gear,낚시 용품,Fishing Equipment,blue,2,2,22,"품질과 기술력을 인정받은 국산 낚싯대, 릴, 낚싯줄 등이 전문가 및 동호인들 사이에서 꾸준히 판매되고 있습니다."
26,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,-7,3,35,"인기 드라마의 DVD, 블루레이, OST 앨범이나 PPL 상품에 대한 해외 팬들의 수요가 존재합니다. 신작 흥행 여부에 따라 판매량이 크게 변동하는 특징이 있습니다."
27,home-decor,K-홈데코,Korean Home Decor,blue,1,2,40,"미니멀하면서도 감성적인 디자인의 한국 홈데코 소품들이 인기를 얻고 있습니다. 패브릭 포스터, 무드등, 디자인 시계 등이 주력 상품입니다."
28,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,-7,2,25,"T1 등 세계적인 e스포츠 구단의 유니폼, 마우스패드, 키캡 등 공식 굿즈는 글로벌 팬덤을 기반으로 안정적인 수요를 보입니다."
