cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,방탄소년단 공식 응원봉,BTS Official Light Stick ARMY Bomb,Weverse Shop,65,32000,50,350,11923,kpop lightstick;bts merch;army bomb,0,domeggook-com;fandommall-co-kr;withmuu-com
kpop-goods,2,블랙핑크 공식 포토카드 세트,BLACKPINK Official Photocard Set,YG SELECT,25,10000,60,50,11923,blackpink pc;kpop photocards;yg merch,0,ownerclan-com;kpopstore-com;domema-com
kpop-goods,3,뉴진스 앨범 'OMG' (위버스 버전),NewJeans Album 'OMG' (Weverse Version),Weverse Shop,30,13000,55,280,17698,newjeans album;kpop cd;omg weverse,0,domeggook-com;fandommall-co-kr;kpopstore-com
kpop-goods,4,스트레이키즈 스키주 인형,Stray Kids SKZOO Plush Doll,JYP SHOP,45,20000,50,200,11923,skzoo plush;stray kids merch;jyp goods,0,ownerclan-com;withmuu-com;domema-com
kpop-goods,5,NCT 127 공식 팬라이트,NCT 127 Official Fanlight,SMTOWN &STORE,60,28000,53,300,11923,nct lightstick;kpop fanlight;smtown merch,0,domeggook-com;fandommall-co-kr;onchannel-co-kr
kpop-goods,6,세븐틴 캐럿봉 버전 3,SEVENTEEN Carat Bong Version 3,Weverse Shop,68,35000,48,380,11923,seventeen lightstick;carat bong;kpop merch,0,domeggook-com;fandommall-co-kr;withmuu-com
kpop-goods,7,아이브 포토카드 앨범,IVE Photocard Album,Ktown4u,22,9000,59,150,11923,ive pc holder;kpop album;starship merch,0,ownerclan-com;kpopstore-com;domema-com
kpop-goods,8,투모로우바이투게더 공식 키링,TXT Official Keyring,Weverse Shop,20,8500,57,80,11923,txt keyring;kpop accessory;bighit merch,0,domeggook-com;fandommall-co-kr;withmuu-com
kpop-goods,9,에스파 공식 응원봉,aespa Official Light Stick,SMTOWN &STORE,58,27000,53,320,11923,aespa lightstick;kpop merch;sm goods,0,domeggook-com;fandommall-co-kr;onchannel-co-kr
kpop-goods,10,르세라핌 앨범 'EASY',LE SSERAFIM Album 'EASY',Weverse Shop,28,12000,57,250,17698,le sserafim easy;kpop album;source music,0,domeggook-com;fandommall-co-kr;kpopstore-com
kpop-goods,11,라이즈 앨범 'Get A Guitar',RIIZE Album 'Get A Guitar',SMTOWN &STORE,27,11500,57,260,17698,riize album;get a guitar;sm entertainment,0,domeggook-com;fandommall-co-kr;onchannel-co-kr
kpop-goods,12,엔하이픈 공식 포토카드,ENHYPEN Official Photocard,Weverse Shop,15,6000,60,30,11923,enhypen pc;kpop collectible;belift lab,0,ownerclan-com;kpopstore-com;domema-com
kpop-goods,13,있지 공식 응원봉,ITZY Official Light Ring,JYP SHOP,55,25000,54,300,11923,itzy light ring;kpop lightstick;jyp merch,0,domeggook-com;fandommall-co-kr;withmuu-com
kpop-goods,14,아이들 공식 응원봉,G-IDLE Official Light Stick,Ktown4u,50,23000,54,290,11923,g-idle lightstick;kpop merch;cube ent,0,domeggook-com;fandommall-co-kr;kpopstore-com
kpop-goods,15,산리오 캐릭터 포토카드 홀더,Sanrio Character Photocard Holder,산리오,18,7500,58,100,11923,sanrio pc holder;kpop accessories;cute card holder,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,16,K-POP 아이돌 앨범,K-POP Idol Album,Ktown4u,25,10000,60,250,17698,kpop cd;korean music;idol album,0,domeggook-com;kpopstore-com;fandommall-co-kr
kpop-goods,17,공식 응원봉 파우치,Official Light Stick Pouch,Weverse Shop,15,6000,60,80,11923,lightstick case;kpop accessories;fan merch,0,ownerclan-com;withmuu-com;domema-com
kpop-goods,18,포토카드 슬리브 100매,Photocard Sleeves 100pcs,팝콘슬리브,10,4000,60,70,11923,pc sleeves;kpop card protector;collectible supplies,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,19,아이돌 포스터 세트,Idol Poster Set,Ktown4u,18,7500,58,120,11923,kpop poster;idol wall decor;fan art,0,domeggook-com;fandommall-co-kr;kpopstore-com
kpop-goods,20,K-POP 앨범 바인더,K-POP Album Binder,사운드웨이브,22,9000,59,200,11923,kpop binder;photocard storage;album collector,0,ownerclan-com;withmuu-com;domema-com
