rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,글로벌 아이돌 그룹의 컴백과 한정판 MD에 대한 팬덤 수요가 폭발적으로 증가하며 카테고리 성장을 견인하고 있습니다.
2,trading-cards,수집용 트레이딩 카드,Trading Cards,red,0,5,45,"포켓몬, 유희왕 등 한국 독점 프로모션 카드에 대한 해외 수집가들의 수요가 매우 높으며, 희귀 카드는 고가에 거래됩니다."
3,auto-parts,자동차 부품,Auto Parts,red,1,4,50,"현대, 기아차의 글로벌 판매량 증가에 따라 순정 OEM 부품 수요가 꾸준히 증가하고 있으며, 특히 미국 시장에서 강세를 보입니다."
4,k-fashion,K-패션/리셀,K-Fashion & Resell,red,1,4,40,"K팝 스타들이 착용한 아이템이 SNS에서 화제가 되며 즉각적인 구매로 이어지고 있으며, 중고 명품 리셀 시장도 꾸준히 성장 중입니다."
5,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-2,5,30,"선스크린, 앰플 등 특정 효능을 강조한 제품들이 인기를 끌고 있으며, 일본 시장에서 특히 강한 존재감을 보이고 있습니다."
6,drones,드론/액세서리,Drones & Accessories,blue,3,3,55,개인 영상 촬영 및 취미용 드론 시장이 확대되면서 한국산 드론 및 관련 액세서리가 높은 매출을 기록하고 있습니다.
7,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,20,3,38,"단종된 희귀 레고 모델에 대한 수집 수요가 높으며, 글로벌 팬덤을 보유한 IP 협업 제품들이 꾸준히 판매되고 있습니다."
8,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-1,4,42,"스포츠웨어, 신발, 지갑 등 K-브랜드 제품에 대한 해외 관심이 지속적으로 높게 나타나고 있습니다."
9,character-goods,캐릭터 굿즈,Character Goods,blue,2,4,33,"티니핑, 핑크퐁 등 한국 고유 캐릭터 상품들이 해외 시장에서 좋은 반응을 얻고 있습니다."
10,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,8,3,25,"아기자기하고 혁신적인 디자인의 다이어리, 스티커, 플래너 등이 K팝 문화와 결합하여 꾸준한 인기를 얻고 있습니다."
11,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,3,3,28,K-뷰티 카테고리 내에서 헤어케어 제품군이 눈에 띄는 성과를 보이며 새로운 성장 동력으로 자리 잡고 있습니다.
12,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,-6,4,48,웹툰 IP 기반 피규어와 한정판 수집용 완구가 안정적인 팬층을 기반으로 꾸준히 판매됩니다.
13,k-food,K-푸드/스낵,K-Food & Snacks,blue,-1,4,20,할랄 인증을 받은 한국 인스턴트 면류와 스낵류가 B2B 시장에서 좋은 반응을 얻으며 수출이 확대되고 있습니다.
14,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,-1,4,35,"리퍼브 제품과 고성능 게이밍 관련 부품에 대한 수요가 꾸준하며, 안정적인 매출을 기록하고 있습니다."
15,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,-7,3,32,"콜라겐, 홍삼 등 한국산 건강기능식품이 K-뷰티 트렌드와 맞물려 주목받고 있습니다."
16,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,-1,5,22,캐릭터 IP를 활용한 독특한 디자인의 케이스와 그립톡이 K팝 팬들을 중심으로 인기가 높습니다.
