cat_slug,rank,name,country,change,initials
kpop-goods,1,Weverse Shop,KR,0,위버스
kpop-goods,2,Ktown4u,KR,3,케이
kpop-goods,3,YG SELECT,KR,1,와셀
kpop-goods,4,SMTOWN &STORE,KR,-2,슴스
kpop-goods,5,사운드웨이브,KR,3,사웨
kpop-goods,6,뮤직코리아,KR,3,뮤코
kpop-goods,7,애플뮤직,KR,3,애플
kpop-goods,8,위드뮤,KR,3,위드
kpop-goods,9,메이크스타,KR,-3,메스
kpop-goods,10,에버라인,KR,-3,에버
kpop-goods,11,디어마이뮤즈,KR,2,디뮤
kpop-goods,12,조은뮤직,KR,0,조은
kpop-goods,13,뮤직플랜트,KR,6,뮤플
kpop-goods,14,점프업이엔티,KR,0,점프
kpop-goods,15,후즈팬,KR,0,후즈
kpop-goods,16,비트로드,KR,4,비트
kpop-goods,17,포카마켓,KR,-5,포마
kpop-goods,18,알라딘,KR,0,알라
kpop-goods,19,YES24,KR,0,예사
kpop-goods,20,인터파크,KR,0,인팍
k-beauty-skincare,1,이니스프리,KR,3,이니스
k-beauty-skincare,2,닥터자르트,KR/US,3,닥자
k-beauty-skincare,3,라네즈,KR,0,라네
k-beauty-skincare,4,설화수,KR,-2,설화
k-beauty-skincare,5,코스알엑스,KR,-4,코알
k-beauty-skincare,6,메디힐,KR,0,메디
k-beauty-skincare,7,아비브,KR,12,아비
k-beauty-skincare,8,라운드랩,KR,0,라랩
k-beauty-skincare,9,넘버즈인,KR,4,넘버
k-beauty-skincare,10,아누아,KR,-1,아누
k-beauty-skincare,11,마녀공장,KR,1,마공
k-beauty-skincare,12,에스트라,KR,-5,에스
k-beauty-skincare,13,아이오페,KR,2,아이
k-beauty-skincare,14,한율,KR,0,한율
k-beauty-skincare,15,구달,KR,-1,구달
k-beauty-skincare,16,토리든,KR,-5,토리
k-beauty-skincare,17,스킨푸드,KR,0,스킨
k-beauty-skincare,18,이자녹스,KR,0,이자
k-beauty-skincare,19,비욘드,KR,0,비욘
k-beauty-skincare,20,차앤박,KR,0,차앤
auto-parts,1,현대모비스,KR,0,현모
auto-parts,2,만도,KR,0,만도
auto-parts,3,한온시스템,KR,0,한온
auto-parts,4,한국타이어,KR,0,한타
auto-parts,5,금호타이어,KR,2,금타
auto-parts,6,넥센타이어,KR,2,넥센
auto-parts,7,불스원,KR,0,불스
auto-parts,8,보쉬 코리아,KR,0,보쉬
auto-parts,9,카포스,KR,0,카포
auto-parts,10,상신브레이크,KR,0,상신
auto-parts,11,세방전지,KR,2,세방
auto-parts,12,아트라스비엑스,KR,0,아트
auto-parts,13,델코,KR,0,델코
auto-parts,14,모토렉스,KR,0,모토
auto-parts,15,오토엔,KR,0,오토
auto-parts,16,지파츠,KR,0,지파
auto-parts,17,파츠몰,KR,0,파츠
auto-parts,18,카젠,KR,0,카젠
auto-parts,19,오토플러스,KR,0,오플
auto-parts,20,카수리,KR,0,카수
trading-cards,1,대원미디어,KR,1,대원
