rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,"팝업 스토어, 팬미팅 등 오프라인 행사 한정 굿즈와 앨범 특전 포토카드(POB)가 판매를 주도하며 지속적인 강세를 보이고 있습니다."
2,trading-cards,수집용 트레이딩 카드,Trading Cards,red,2,5,45,포켓몬 카드의 한국어판 에디션이 해외에서 희소성을 인정받아 높은 프리미엄에 판매되고 있습니다. 게임 '스텔라 블레이드'의 부스터 팩은 단일 상품 판매량 1위를 기록했습니다.
3,lego-blocks,조립 완구/레고,LEGO & Building Blocks,red,7,4,30,"단종된 레고 세트의 희소 가치가 부각되며 '레테크(레고+재테크)' 수요가 증가, 수집가 시장을 중심으로 꾸준한 판매량을 보입니다."
4,auto-parts,자동차 부품,Auto Parts,red,-2,4,40,"미국 내 한국 차량 보유자가 증가함에 따라, 관련 부품 수요가 꾸준히 상위권을 유지하고 있습니다. eBay 전체 카테고리 중에서도 세 번째로 큰 비중을 차지합니다."
5,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-2,5,50,"K-뷰티 3.0 트렌드에 따라 효능과 건강을 중시하는 소비자가 늘면서, 과학적 연구 기반의 고기능성 스킨케어 제품이 인기를 끌고 있습니다."
6,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,3,4,35,"젠틀몬스터, 마뗑킴 등 K-브랜드의 글로벌 인지도가 높아지면서 의류 및 패션 잡화 판매가 꾸준히 증가하고 있습니다."
7,drones,드론/액세서리,Drones & Accessories,blue,11,3,25,"개인 영상 촬영 및 취미용 드론 시장이 확대되면서, 관련 액세서리와 함께 꾸준한 판매량을 기록하고 있습니다."
8,character-goods,캐릭터 굿즈,Character Goods,blue,-3,4,40,메이플스토리와 롯데월드 콜라보 상품 등 한국 IP 기반 캐릭터 상품들이 높은 판매 순위를 기록하며 저력을 보여주고 있습니다.
9,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,4,4,38,블랙핑크 로제가 사용하는 스트레스 볼로 알려진 '니도 나이스 큐브'가 전체 상품 판매량 2위를 차지하는 등 특정 상품의 인기가 카테고리 성장을 견인하고 있습니다.
10,auto-accessories,자동차 액세서리,Auto Accessories,blue,2,3,45,자동차 부품과 더불어 차량용 편의 용품 및 액세서리 수요가 동반 상승하며 안정적인 판매를 보이고 있습니다.
11,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,13,3,33,"신발, 지갑, 모자 등 스포츠웨어를 포함한 남성 패션 잡화가 꾸준한 수요를 보이며 상위권에 자리 잡고 있습니다."
12,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,8,4,55,스킨케어와 마찬가지로 K-뷰티의 인기에 힘입어 다양한 색조 화장품들이 꾸준히 판매되고 있습니다.
13,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,6,5,60,"최신 스마트폰 모델 출시에 맞춰 보호 케이스, 충전기, 거치대 등 관련 액세서리 판매가 활발하며, 높은 마진율을 기대할 수 있는 시장입니다."
14,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,-8,4,25,"고성능을 요구하는 PC 게임 및 작업 환경 구축 수요로 인해 한국산 메모리, SSD 등 컴퓨터 부품이 꾸준히 판매됩니다."
15,k-food,K-푸드/스낵,K-Food & Snacks,blue,-7,4,30,할랄 인증을 받은 한국 식품과 간편하게 즐길 수 있는 스낵류가 B2B 시장에서 높은 수요를 보이며 새로운 성장 동력으로 부상하고 있습니다.
16,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,-9,3,42,'전지적 독자 시점' 등 인기 웹툰의 단행본과 관련 굿즈가 해외 팬들 사이에서 꾸준히 판매되고 있습니다.
17,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,-2,3,48,"K-뷰티 카테고리 내에서 헤어케어 제품군이 주목받으며, 스킨케어 못지않은 성장세를 보이고 있습니다."
18,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,-4,3,65,"한국산 홍삼, 콜라겐 등 건강과 미용을 함께 관리하려는 수요에 맞춰 이너뷰티 제품 및 건강기능식품의 인기가 높습니다."
19,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,9,2,35,리그 오브 레전드(LoL) MSI 팬 페스타 한정 프로모션 카드 등 e스포츠 관련 상품들이 팬덤을 중심으로 거래되고 있습니다.
20,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,-4,3,55,독특하고 아기자기한 디자인의 한국 문구류와 다이어리 꾸미기(다꾸) 용품이 해외에서 꾸준한 팬층을 확보하고 있습니다.
21,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,-4,3,30,기능성과 디자인을 겸비한 한국의 캠핑 및 아웃도어 용품들이 해외 소비자들에게 좋은 반응을 얻고 있습니다.
22,golf-gear,골프 용품,Golf Equipment,blue,-1,2,28,한국 브랜드의 골프 의류 및 용품이 기능성과 패션성을 인정받으며 점차 시장을 확대하고 있습니다.
23,fishing-gear,낚시 용품,Fishing Equipment,blue,2,2,32,품질 좋은 국산 낚싯대와 관련 소모품들이 해외 낚시 동호인들 사이에서 입소문을 타며 판매가 이루어지고 있습니다.
24,kitchen-ware,K-주방용품,Korean Kitchenware,blue,-2,3,38,"한식의 인기에 힘입어 뚝배기, 수저 세트, 김밥틀 등 한국적인 특색을 지닌 주방용품의 수요가 증가하고 있습니다."
25,pet-supplies,반려동물 용품,Pet Supplies,blue,-2,3,45,"디자인과 아이디어가 돋보이는 한국의 반려동물 의류, 장난감, 미용 용품 등이 해외 집사들의 마음을 사로잡고 있습니다."
26,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,0,2,40,"인기리에 방영된 K-드라마의 DVD, 대본집, 관련 소품 등이 종영 후에도 꾸준히 팬들 사이에서 판매됩니다."
