rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-beauty,K-뷰티,K-Beauty,red,2,5,35,리들샷·PDRN 등 기능성 성분 중심의 스킨케어가 시장을 견인. 신제품 출시 주기가 매우 빨라 재고 관리가 중요합니다.
2,k-pop-goods,K팝 굿즈,K-Pop Goods,red,-1,5,45,앨범 초동 물량 확보와 미공개 포토카드(특전)가 판매의 핵심. 팬덤별 특성을 이해하는 것이 필수적입니다.
3,k-fashion-streetwear,K-패션 스트릿웨어,K-Fashion Streetwear,red,1,5,40,신진 디자이너 브랜드의 인기가 급상승 중. 인플루언서와의 협업 및 한정판 발매 전략이 유효합니다.
4,korean-instant-noodles,한국 인스턴트 라면,Korean Instant Noodles,red,0,4,25,SNS 챌린지를 통해 바이럴이 지속적으로 발생. 여러 종류를 묶은 번들 상품의 판매율이 높습니다.
5,korean-skincare-tools,한국 스킨케어 디바이스,Korean Skincare Tools,red,3,4,50,"LED 마스크, 고주파 마사지기 등 홈케어 기기 수요가 폭발적. KC인증 및 해외 AS 정책 확보가 필수입니다."
6,korean-stationery,한국 문구 (다꾸),Korean Stationery (Dakku),blue,-2,3,60,"'다이어리 꾸미기' 문화 기반의 스티커, 마스킹테이프가 강세. 인기 작가와의 콜라보 상품이 고마진을 창출합니다."
7,korean-health-supplements,한국 건강기능식품,Korean Health Supplements,blue,1,4,40,"홍삼, 이너뷰티 콜라겐, 프로바이오틱스가 스테디셀러. 국가별 식품의약품안전처 규제 및 통관 기준을 반드시 확인해야 합니다."
8,k-drama-movie-goods,K-드라마/영화 굿즈,K-Drama & Movie Goods,blue,4,3,55,"글로벌 OTT 흥행작의 OST 앨범, 블루레이, 대본집 수요가 급증. 예약 판매를 활용하는 것이 효과적입니다."
9,korean-snacks,한국 과자,Korean Snacks,blue,-1,3,30,"약과, 붕어빵 등 전통 간식의 현대적 재해석이 트렌드. 유통기한과 배송 중 파손 방지 포장이 중요합니다."
10,webtoon-merchandise,웹툰 굿즈,Webtoon Merchandise,blue,5,2,65,"글로벌 팬덤을 보유한 웹툰의 단행본, 아크릴 스탠드 등 굿즈 시장이 빠르게 성장하는 블루오션입니다."
11,custom-k-pop-photocards,커스텀 K팝 포토카드,Custom K-Pop Photocards,blue,0,3,70,공식 굿즈가 아닌 팬 제작(비공굿) 포토카드 시장. 높은 마진이 가능하나 저작권 이슈에 유의해야 합니다.
12,korean-kitchenware,한국 주방용품,Korean Kitchenware,blue,-3,2,45,"돌솥, 유기그릇 등 전통 식기와 디자인이 우수한 현대적 조리도구 모두 수요가 꾸준합니다."
13,korean-baby-products,한국 유아용품,Korean Baby Products,blue,2,3,40,"안전한 소재와 세련된 디자인의 유아 의류, 스킨케어 제품에 대한 글로벌 부모들의 신뢰도가 높습니다."
14,korean-traditional-crafts,한국 전통 공예품,Korean Traditional Crafts,blue,1,1,68,"나전칠기, 보자기 등 장인이 만든 수공예품은 고가이지만 마니아층이 확실. 제품의 스토리를 강조하는 것이 중요합니다."
15,korean-pet-supplies,한국 반려동물 용품,Korean Pet Supplies,blue,3,2,50,"펫셔니스타를 위한 의류, 기능성 간식, 디자인 장난감 등 프리미엄 시장이 형성되어 있습니다."
16,k-indie-music-goods,K-인디음악 굿즈,K-Indie Music Goods,blue,-1,2,58,"소규모 팬덤을 타겟으로 한 LP, 한정판 굿즈 판매. 충성도 높은 고객 확보에 유리한 틈새시장입니다."
17,korean-tea-beverages,한국 전통차 및 음료,Korean Tea & Beverages,blue,0,2,38,"유자차, 매실차 등 전통차와 스틱형 커피믹스가 꾸준한 인기. 선물용 고급 패키지 상품의 반응이 좋습니다."
18,used-k-fashion,중고 K-패션,Used K-Fashion,blue,2,3,60,단종된 인기 디자인이나 빈티지 아이템을 찾는 수요가 증가. 상품의 상태를 정확히 고지하는 것이 신뢰의 핵심입니다.
19,korean-camping-gear,한국 캠핑용품,Korean Camping Gear,blue,1,2,48,"경량화, 미니멀 디자인을 앞세운 한국 캠핑 브랜드들이 해외 캠퍼들 사이에서 주목받고 있습니다."
20,korean-art-supplies,한국 미술용품,Korean Art Supplies,blue,-2,1,55,"한지, 서예용 붓, 먹 등 전문적인 미술 용품은 대체 불가능한 고유의 시장을 형성하고 있어 경쟁 강도가 낮습니다."
