cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty,1,조선미녀 맑은쌀 선크림 SPF50+ PA++++,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+,조선미녀,18,7500,45,80,26395,korean sunscreen;beauty of joseon;viral skincare,5,umma-io;q-depot-com;kocosupply-com;domeggook-com
k-beauty,2,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,코스알엑스,21,9200,48,150,177641,snail mucin;cosrx essence;korean skincare,3,q-depot-com;ktradehub-com;cosmeticstory-co-kr;ownerclan-com
k-beauty,3,아누아 어성초 77% 수딩 토너,Anua Heartleaf 77% Soothing Toner,아누아,24.5,11000,43,300,177641,anua heartleaf;korean toner;soothing toner,7,umma-io;kocosupply-com;dometopia-com
k-beauty,4,바이오던스 바이오-콜라겐 리얼 딥 마스크,Biodance Bio-Collagen Real Deep Mask,바이오던스,22,10500,41,180,177641,collagen mask;biodance;overnight mask,8,q-depot-com;cosmeticstory-co-kr;domeggook-com;sellmoa-com
k-beauty,5,라네즈 립 슬리핑 마스크,Laneige Lip Sleeping Mask,라네즈,24,11500,46,90,31786,laneige lip mask;lip care;kbeauty lips,2,umma-io;ktradehub-com;ownerclan-com
k-beauty,6,스킨1004 마다가스카르 센텔라 히알루-시카 워터핏 선 세럼,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,스킨1004,17.5,7800,44,85,26395,skin1004;centella sunscreen;hyaluronic acid,6,q-depot-com;kocosupply-com;domaemae-com
k-beauty,7,롬앤 글래스팅 멜팅 밤,Rom&nd Glasting Melting Balm,롬앤,14,5500,41,40,31786,romand;lip balm;korean makeup,4,umma-io;cosmeticstory-co-kr;domeggook-com
k-beauty,8,클리오 킬커버 더뉴 파운웨어 쿠션,Clio Kill Cover The New Founwear Cushion,클리오,28,13000,49,120,31786,clio cushion;korean foundation;kill cover,1,q-depot-com;ktradehub-com;ownerclan-com
k-beauty,9,마녀공장 퓨어 클렌징 오일,Manyo Factory Pure Cleansing Oil,마녀공장,23.5,10800,47,250,177641,manyo factory;cleansing oil;korean cleanser,3,umma-io;kocosupply-com;dometopia-com
k-beauty,10,닥터자르트 시카페어 크림,Dr.Jart+ Cicapair Tiger Grass Color Correcting Treatment,닥터자르트,42,21000,50,100,177641,dr jart;cicapair;color correcting,-1,q-depot-com;ktradehub-com;cosmeticstory-co-kr
