rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,"BTS, 스트레이 키즈 등 글로벌 아이돌 그룹의 컴백과 한정판 굿즈 수요가 맞물려 폭발적인 성장세를 유지하고 있습니다. 희소성 있는 포토카드는 고가에 리셀되며 시장을 견인하고 있습니다."
2,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,1,5,65,"미국과 일본 시장에서 K-뷰티의 성장이 가속화되고 있습니다. 특히 스킨케어 제품은 가격 대비 뛰어난 효능으로 높은 재구매율을 보이며, 선크림과 보습제가 꾸준한 인기를 얻고 있습니다."
3,auto-parts,자동차 부품,Auto Parts,red,-1,4,40,"현대, 기아차의 글로벌 판매량 증가에 힘입어 관련 부품 수요가 꾸준히 강세를 보이고 있습니다. 특히 DIY 문화가 발달한 북미 시장을 중심으로 높은 판매량을 기록 중입니다."
4,trading-cards,수집용 트레이딩 카드,Trading Cards,red,1,5,55,K팝 아이돌 포토카드와 더불어 포켓몬 카드 등 수집용 트레이딩 카드 시장 전체가 폭발적인 성장세를 보이고 있습니다. 희소성 있는 카드는 높은 가격에 거래되며 강력한 팬덤 기반 소비를 보여줍니다.
5,drones,드론/액세서리,Drones & Accessories,red,-1,3,35,개인 영상 촬영 및 콘텐츠 제작 수요 증가로 드론 카테고리가 꾸준히 성장하고 있습니다. 한국 셀러들의 판매량이 높은 성장률을 기록하며 주요 수출 품목으로 자리 잡았습니다.
6,character-goods,캐릭터 굿즈,Character Goods,blue,3,4,50,"K-웹툰 원작 캐릭터 상품과 티니핑, 핑크퐁 등 한국 캐릭터 굿즈가 해외에서 좋은 반응을 얻고 있습니다. 키덜트 문화 확산으로 피규어, 아트토이 등 수집가 대상 상품의 인기가 높습니다."
7,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-1,4,40,"K팝 아이돌이 착용한 아이템이 SNS에서 화제가 되며 직접적인 구매로 이어지는 트렌드가 계속되고 있습니다. 마지 셔우드, 스탠드오일 등 국내 컨템포러리 브랜드들이 주목받고 있습니다."
8,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,6,3,60,"일본 시장을 중심으로 K-이너뷰티 제품의 수요가 급증하고 있습니다. 콜라겐, 히알루론산 등 기능성 성분을 앞세운 제품들이 좋은 반응을 얻으며 새로운 성장 동력으로 부상했습니다."
9,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,-1,3,30,"글로벌 팬덤을 보유한 레고가 꾸준한 매출을 견인하고 있으며, 특히 단종된 희귀 제품은 높은 가격에 거래됩니다. 2026년 1분기 가장 높은 성장률을 기록한 카테고리 중 하나입니다."
10,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,0,4,60,"일본 시장에서 립, 아이섀도우 등 주요 색조 카테고리 판매 순위 상위권을 한국 브랜드가 장악하며 강세를 보이고 있습니다. 혁신적인 제형과 다기능 제품들이 인기를 끌고 있습니다."
