cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,BTS 포토카드 세트,BTS Photo Card Set,위버스샵,25.99,12000,54,80,18346,kpop;photocard;bts,10,domeggook-com;ownerclan-com;supercat-co-kr
kpop-goods,2,BLACKPINK 응원봉,BLACKPINK Light Stick,YG SELECT,75,35000,53,300,18346,kpop;lightstick;blackpink,10,domeggook-com;dometopia-com;sellmoa-com
kpop-goods,3,EXO 앨범 (미개봉),EXO Album (Sealed),SMTOWN &STORE,39.99,18000,55,250,18346,kpop;album;exo,0,ownerclan-com;domema-com;onchannel-co-kr
kpop-goods,4,TWICE 굿즈 키링,TWICE Goods Keyring,JYP SHOP,19.99,9000,55,50,18346,kpop;keyring;twice,0,domeggook-com;supercat-co-kr;sellmoa-com
kpop-goods,5,Stray Kids 미니 포스터,Stray Kids Mini Poster,JYP SHOP,12.5,5000,60,30,18346,kpop;poster;straykids,0,ownerclan-com;dometopia-com;domema-com
kpop-goods,6,NCT 공식 응원봉,NCT Official Light Stick,SMTOWN &STORE,70,32000,54,300,18346,kpop;lightstick;nct,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,7,SEVENTEEN 앨범,SEVENTEEN Album,위버스샵,35,16000,54,250,18346,kpop;album;seventeen,0,dometopia-com;sellmoa-com;supercat-co-kr
kpop-goods,8,ITZY 포토카드,ITZY Photo Card,JYP SHOP,15,6000,60,40,18346,kpop;photocard;itzy,0,domeggook-com;ownerclan-com;domema-com
kpop-goods,9,Red Velvet 굿즈,Red Velvet Official Goods,SMTOWN &STORE,29.99,13000,57,100,18346,kpop;goods;redvelvet,0,sellmoa-com;onchannel-co-kr;supercat-co-kr
kpop-goods,10,aespa 앨범,aespa Album,SMTOWN &STORE,38,17000,55,250,18346,kpop;album;aespa,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,11,IVE 포토카드,IVE Photo Card,스타쉽스퀘어,16,7000,56,40,18346,kpop;photocard;ive,0,domeggook-com;supercat-co-kr;domema-com
kpop-goods,12,TXT 앨범,TXT Album,위버스샵,36,16000,56,250,18346,kpop;album;txt,0,ownerclan-com;sellmoa-com;onchannel-co-kr
kpop-goods,13,ENHYPEN 포토카드,ENHYPEN Photo Card,위버스샵,17,7500,56,40,18346,kpop;photocard;enhypen,0,domeggook-com;dometopia-com;supercat-co-kr
kpop-goods,14,ATEEZ 앨범,ATEEZ Album,케이타운포유,34,15000,56,250,18346,kpop;album;ateez,0,ownerclan-com;domema-com;sellmoa-com
kpop-goods,15,LE SSERAFIM 앨범,LE SSERAFIM Album,위버스샵,37,16500,55,250,18346,kpop;album;lesserafim,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,16,NewJeans 앨범,NewJeans Album,위버스샵,39,17500,55,250,18346,kpop;album;newjeans,0,dometopia-com;supercat-co-kr;sellmoa-com
kpop-goods,17,ZEROBASEONE 앨범,ZEROBASEONE Album,케이타운포유,33,14500,56,250,18346,kpop;album;zb1,0,domeggook-com;ownerclan-com;domema-com
