rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-pop-photocards,K팝 포토카드,K-pop Photocards,red,0,5,65,"글로벌 팬덤 기반의 강력한 수요. 희소성 있는 앨범 특전, 럭키드로우 이벤트 상품이 고가에 거래되며 시장을 주도함."
2,auto-parts,자동차 부품,Automotive Parts,red,0,4,40,"현대·기아차의 글로벌 판매량 증가에 따른 순정 부품(OEM) 수요가 꾸준함. DIY 문화 확산으로 헤드라이트, 휠 등 교체용 부품 판매가 강세."
3,k-beauty-skincare,K-뷰티 스킨케어,K-Beauty Skincare,red,0,5,45,"성분 중심의 고기능성 제품(PDRN, 리들샷 등)과 클린뷰티, 비건 제품이 인기. 아마존 등 타 플랫폼과 경쟁이 매우 치열함."
4,drones-accessories,드론 및 액세서리,Drones & Accessories,red,0,3,30,개인 영상 촬영 및 취미용 드론 시장 확대로 한국 셀러 매출 1위를 기록. 고성능 국산 드론 및 관련 액세서리 수요가 높음.
5,fashion-resale,패션 리셀,Fashion Resale,red,0,4,50,"국내 디자이너 브랜드(마뗑킴, 스탠드오일 등)와 한정판 스니커즈 리셀이 활발. 중고 거래 특성상 상품 컨디션 관리가 중요."
6,k-pop-albums-merch,K팝 앨범/굿즈,K-pop Albums/Merch,blue,0,5,35,"BTS, 스트레이키즈 등 글로벌 아이돌의 컴백 시즌에 수요가 폭발. 응원봉, 시즌 그리팅 등 공식 MD 상품이 꾸준히 판매됨."
7,beauty-devices,뷰티 디바이스,Beauty Devices,blue,0,3,40,"가정용 고주파, LED 마스크 등 홈케어 기기 수요가 일본을 중심으로 급증. 기술력과 안전 인증이 중요한 카테고리."
8,k-stationery-deco,문구/다꾸용품,K-Stationery/Deco,blue,0,4,55,"다이어리 꾸미기(다꾸) 문화 확산으로 스티커, 마스킹테이프, 플래너 등 아기자기한 디자인 상품이 인기."
9,collectible-toys-figures,수집용 토이/피규어,Collectible Toys/Figures,blue,0,3,45,"캐치! 티니핑, 핑크퐁 등 한국 캐릭터 상품과 라부부 같은 아트토이의 인기가 높음. 한정판 상품 소싱 능력이 관건."
10,k-haircare,헤어케어,K-Haircare,blue,0,3,38,"두피 관리, 탈모 완화 기능성 샴푸와 트리트먼트 제품이 스킨케어의 연장선상에서 주목받고 있음."
11,k-snacks-foods,스낵/가공식품,K-Snacks/Foods,blue,0,4,30,"불닭볶음면 등 매운 라면과 다양한 맛의 과자, 간편식(HMR)이 인기. 유통기한과 통관 규정 확인이 필수."
12,smartphone-accessories,스마트폰 액세서리,Smartphone Accessories,blue,0,5,60,"독특한 디자인의 폰케이스, 그립톡 등 K-감성 디자인 상품이 인기. 저가 상품이 많아 가격 경쟁이 치열함."
13,industrial-equipment,산업용 장비/부품,Business & Industrial,blue,0,2,25,"산업용 제어 시스템, 공압 부품 등 전문 분야의 B2B 수요가 꾸준히 발생. 다른 이커머스에서 구하기 어려운 품목이 강점."
14,mens-fashion,남성 패션,Men's Fashion,blue,0,3,40,"스포츠웨어, 신발, 모자, 지갑 등 K-브랜드 제품에 대한 관심이 증가하는 추세."
15,k-fashion-women,여성 패션 의류,K-Fashion Women's,blue,0,4,45,"동대문 기반의 트렌디한 의류와 한국 디자이너 브랜드가 인기. 사이즈, 핏 관련 반품 리스크 관리가 필요."
16,gaming-accessories,게이밍 기어/액세서리,Gaming Gear/Accessories,blue,0,3,35,"고성능 게이밍 마우스, 키보드, 헤드셋 등 국산 브랜드 제품의 경쟁력이 있음. 신제품 출시에 따른 수요 변동이 큼."
17,camping-outdoor,캠핑/아웃도어 용품,Camping & Outdoor,blue,0,3,33,"디자인과 실용성을 겸비한 한국 브랜드의 텐트, 의자, 조리도구 등이 주목받고 있음."
18,traditional-crafts,전통 공예품,Traditional Crafts,blue,0,2,60,"K-콘텐츠의 영향으로 노리개, 자개함, 한복 인형 등 한국적 디자인의 기념품 수요가 증가."
19,health-supplements,건강기능식품,Health Supplements,blue,0,4,50,"홍삼, 콜라겐, 다이어트 보조제 등 K-이너뷰티 제품군이 인기. 국가별 성분 통관 기준을 반드시 확인해야 함."
20,smart-home-devices,스마트홈 기기,Smart Home Devices,blue,0,3,30,"IoT 기술을 활용한 스마트 플러그, 허브, 조명 등 중소기업 제품의 가성비가 좋아 수요가 있음."
21,replacement-parts,가전제품 수리 부품,Appliance Replacement Parts,blue,0,2,65,"고장난 고가 가전을 직접 수리하려는 수요로 믹서기 용기, 청소기 필터 등 특정 모델의 부품이 꾸준히 판매됨."
22,retro-tech,레트로 전자제품,Retro Tech,blue,0,3,55,"Y2K 트렌드로 인해 빈티지 디지털카메라, MP3 플레이어 등 2000년대 초반 모델의 수요가 증가."
23,k-pop-magazines,K팝 잡지/화보집,K-pop Magazines,blue,0,3,40,특정 아이돌이 커버 모델인 잡지는 팬들에게 소장 가치가 높아 꾸준한 판매가 이루어짐.
24,living-goods,리빙/생활용품,Living & Home Goods,blue,0,3,35,"디자인이 가미된 주방용품, 수납용품 등 한국의 라이프스타일 상품에 대한 관심이 높아지는 중."
25,kids-fashion,유아동 패션,Kids' Fashion,blue,0,3,48,세련된 디자인과 좋은 품질의 한국 아동복 브랜드가 글로벌 시장에서 인기를 얻고 있음.
26,sports-equipment,스포츠 용품,Sports Equipment,blue,0,3,30,"골프, 테니스 등 특정 스포츠 관련 국산 브랜드 용품 및 의류의 수요가 존재함."
27,pet-supplies,반려동물 용품,Pet Supplies,blue,0,4,40,"디자인과 아이디어가 돋보이는 의류, 장난감, 미용용품 등 한국산 반려동물 용품 시장이 성장 중."
28,mens-cosmetics,남성 화장품,Men's Cosmetics,blue,0,3,42,"K-뷰티의 영향으로 남성용 스킨케어, BB크림 등 그루밍 제품에 대한 수요가 일본을 중심으로 확대되고 있음."
29,car-accessories,차량용 액세서리,Car Accessories,blue,0,4,50,"차량용 방향제, 대시보드 커버, 스마트폰 거치대 등 한국산 아이디어 상품들이 인기."
30,trading-card-games,TCG 카드,Trading Card Games,blue,0,5,25,"포켓몬 카드 등 TCG의 인기는 여전하지만, K-POP 포토카드 시장의 급성장으로 상대적 순위는 하락."
