cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty,1,메디큐브 에이지알 부스터프로,Medicube AGE-R Booster Pro,메디큐브,145,48000,65,480,177641,medicube;korean beauty device;facial booster,8,domeggook-com;ownerclan-com;sellmoa-com;wshopping-co-kr
k-beauty,2,조선미녀 맑은쌀 선크림 SPF50+,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+,조선미녀,18.5,7800,42,80,29594,korean sunscreen;beauty of joseon;rice sunscreen,5,umma-io;cosmeticstory-co-kr;domeggook-com
k-beauty,3,라운드랩 자작나무 수분 토너,Round Lab Birch Juice Moisturizing Toner,라운드랩,21,9500,38,350,31771,round lab toner;birch toner;hydrating kbeauty,4,ownerclan-com;cosmeticmarket-co-kr;umma-io
k-beauty,4,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,코스알엑스,25,11000,45,150,180913,cosrx snail mucin;korean essence;hydrating serum,2,domeggook-com;umma-io;cosmeticstory-co-kr;sellmoa-com
k-beauty,5,아누아 어성초 77% 수딩 토너,Anua Heartleaf 77% Soothing Toner,아누아,24.5,10500,41,300,31771,anua heartleaf;soothing toner;korean skincare,6,ownerclan-com;umma-io;cosmeticmarket-co-kr
k-beauty,6,가히 링클 바운스 멀티밤,Kahi Wrinkle Bounce Multi Balm,가히,29.99,13000,52,100,11868,kahi multi balm;wrinkle stick;korean moisturizer,1,domeggook-com;sellmoa-com;wshopping-co-kr
k-beauty,7,메디힐 마데카소사이드 흔적 패드,Mediheal Madecassoside Blemish Pad,메디힐,22,9800,40,250,177643,mediheal toner pad;blemish care;kbeauty pads,7,umma-io;ownerclan-com;cosmeticstory-co-kr
k-beauty,8,에스트라 아토베리어365 크림,Aestura Atobarrier365 Cream,에스트라,32,14500,48,120,11862,aestura atobarrier;korean moisturizer;skin barrier cream,3,domeggook-com;cosmeticmarket-co-kr;sellmoa-com
k-beauty,9,닥터지 레드 블레미쉬 클리어 수딩 크림,Dr.G Red Blemish Clear Soothing Cream,닥터지,28.5,12000,49,110,11862,dr.g soothing cream;red blemish;korean skincare,0,ownerclan-com;umma-io;domeggook-com
k-beauty,10,라네즈 크림 스킨 리파이너,Laneige Cream Skin Refiner,라네즈,27,11500,46,200,31771,laneige cream skin;hydrating toner;korean beauty,-1,cosmeticstory-co-kr;wshopping-co-kr;gd-gmarket-co-kr
k-beauty,11,이니스프리 그린티 씨드 히알루론산 세럼,Innisfree Green Tea Seed Hyaluronic Serum,이니스프리,26,11200,47,130,180913,innisfree green tea;hyaluronic serum;kbeauty serum,2,domeggook-com;cosmeticmarket-co-kr;ownerclan-com
k-beauty,12,설화수 윤조 에센스,Sulwhasoo First Care Activating Serum,설화수,85,38000,51,180,180913,sulwhasoo;first care serum;luxury kbeauty,1,wshopping-co-kr;gd-gmarket-co-kr;cosmeticstory-co-kr
k-beauty,13,헤라 블랙 쿠션,Hera Black Cushion,헤라,55,25000,50,100,11863,hera black cushion;korean cushion;foundation makeup,3,gd-gmarket-co-kr;wshopping-co-kr;cosmeticmarket-co-kr
k-beauty,14,클리오 킬커버 파운웨어 쿠션,Clio Kill Cover Founwear Cushion,클리오,30,13500,48,90,11863,clio kill cover;cushion foundation;korean makeup,4,umma-io;domeggook-com;ownerclan-com
