rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,45,글로벌 아이돌 그룹의 컴백과 월드 투어에 대한 기대로 관련 상품 판매량이 폭발적으로 증가하며 1분기 최고 성장 카테고리로 부상했습니다. 특히 BTS 응원봉은 전 세계 검색량과 총 상품 판매액(GMV)에서 1위를 기록했습니다.
2,auto-parts,자동차 부품,Auto Parts,red,1,4,35,2025년 한국 셀러 판매액 기준 2위를 차지한 강력한 카테고리입니다. 특히 미국 내 한국 차량 소유주 증가와 DIY 문화 확산으로 인해 꾸준한 수요를 보이고 있습니다.
3,drones,드론/액세서리,Drones & Accessories,red,2,4,25,"2025년 이베이 판매 한국 셀러 매출 1위 카테고리로, 개인 영상 촬영 수요 증가와 취미용 드론 시장 확장에 힘입어 2026년 1분기에도 가장 빠르게 성장하는 품목 중 하나였습니다."
4,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-2,5,50,"K-뷰티는 이베이에서 가장 지배적인 카테고리 중 하나로, 특히 스킨케어 제품은 재구매율이 높습니다. 2023년 이후 200%의 성장률을 기록하며, 보습 및 기능성 제품에 대한 수요가 지속적으로 높습니다."
5,trading-cards,수집용 트레이딩 카드,Trading Cards,red,-1,5,60,"K팝 포토카드와 더불어 포켓몬, KBO 야구 카드 등 한국어판 트레이딩 카드의 인기가 높습니다. 희소성과 수집 가치를 중시하는 팬덤 소비 문화 확산의 최대 수혜 품목 중 하나입니다."
6,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,1,4,40,"젠틀몬스터, 마지셔우드 등 국내 컨템포러리 브랜드가 해외에서 좋은 반응을 얻고 있습니다. 특히 루즈핏 블레이저 같은 특정 아이템의 검색량이 급증하는 등 최신 트렌드가 판매를 견인하고 있습니다."
7,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,9,3,30,가정에서 손쉽게 전문적인 스킨케어를 하고자 하는 수요가 늘면서 K-뷰티 디바이스가 차세대 성장 품목으로 주목받고 있습니다. 일본 시장에서는 전년 대비 308%의 폭발적인 판매량 증가를 기록했습니다.
8,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,5,3,35,"2025년 매출액 3위를 기록한 카테고리로, 신발, 지갑, 모자 등 스포츠웨어 브랜드 중심으로 꾸준한 판매가 이루어지고 있습니다."
9,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,0,3,25,"2026년 1분기, K팝 굿즈 및 드론과 함께 가장 높은 성장률을 보인 카테고리입니다. 이는 전 세계적인 수집 및 취미 관련 품목의 인기 상승 트렌드를 반영합니다."
10,character-goods,캐릭터 굿즈,Character Goods,blue,-4,4,55,"K팝 IP뿐만 아니라 티니핑, 핑크퐁 등 한국 캐릭터 상품들이 완구/피규어 카테고리에서 상위 판매 순위를 차지하며 인기를 끌고 있습니다."
11,k-food,K-푸드/스낵,K-Food & Snacks,blue,6,4,40,"다양한 종류의 한국 과자를 모은 스낵 박스와 라면, 김 등이 꾸준히 판매되고 있습니다. 특히 거북칩과 같은 히트 상품은 단일 품목으로도 높은 판매량을 기록합니다."
12,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,-2,5,50,"일본 이베이(Qoo10)에서 립 메이크업, 아이섀도우 부문 상위 5위를 한국 브랜드가 모두 차지하는 등 강력한 시장 지배력을 보여주고 있습니다. 지속력과 멀티 유즈 제품이 인기 요인입니다."
13,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,2,4,20,"전자기기는 이베이 전체에서 가장 인기 있는 카테고리 중 하나입니다. 특히 한국의 반도체 수출이 급증하고 있어, 관련 컴퓨터 부품의 해외 판매도 강세를 보일 것으로 예상됩니다."
14,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,-3,5,65,스마트폰 액세서리는 꾸준한 수요와 높은 마진을 기대할 수 있는 품목입니다. 전자기기 카테고리의 강세에 힘입어 안정적인 판매량을 유지하고 있습니다.
15,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,-3,3,30,"탈모 샴푸, 두피 토닉 등 기능성 헤어케어 제품이 주목받으며 뷰티 카테고리 내에서 눈에 띄는 성과를 보였습니다. 판매 상위 20위권 대부분을 한국 브랜드가 차지했습니다."
16,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,-8,3,45,"K-뷰티, 패션, 푸드 외에 이너뷰티 제품에 대한 수요도 점진적으로 증가하고 있습니다. 특히 콜라겐 젤리, 인삼 관련 제품들이 꾸준히 판매됩니다."
17,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,2,4,50,팬덤 소비 트렌드에 힘입어 한국 캐릭터 피규어 및 수집용 완구 시장이 성장하고 있습니다. 기존 인기 IP 외에 새로운 캐릭터 상품들도 좋은 반응을 얻고 있습니다.
18,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,0,3,60,"캐릭터 굿즈의 인기와 함께 다이어리 꾸미기(다꾸) 문화가 해외 팬들에게도 알려지면서 관련 스티커, 마스킹테이프 등의 수요가 발생하고 있습니다."
19,auto-accessories,자동차 액세서리,Auto Accessories,blue,-5,4,40,"차량용 매트, 시트 커버, 대시캠 등은 무거운 부품보다 배송이 용이하고 꾸준한 수요가 있습니다. 특히 전기차(EV) 관련 액세서리는 높은 성장률을 보입니다."
20,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,0,3,30,"한국의 고품질 캠핑 및 아웃도어 장비에 대한 인지도가 상승하면서, 틈새 시장을 중심으로 수요가 꾸준히 발생하고 있습니다."
21,golf-gear,골프 용품,Golf Equipment,blue,0,2,25,한국 브랜드의 골프 의류 및 용품이 디자인과 기능성을 인정받으며 해외 골퍼들 사이에서 점차 인기를 얻고 있습니다.
22,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,2,3,55,"글로벌 웹툰 플랫폼의 성공으로 인기 작품의 단행본, 피규어, 의류 등 관련 굿즈에 대한 팬들의 수요가 증가하는 추세입니다."
23,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,4,3,50,"OTT를 통해 K-드라마가 전 세계적으로 인기를 끌면서, 드라마에 등장한 패션, 뷰티 제품이나 공식 OST 앨범 등의 판매가 이루어지고 있습니다."
24,kitchen-ware,K-주방용품,Korean Kitchenware,blue,-1,2,35,"K-푸드의 인기와 함께 한국의 쿡웨어 및 주방용품에 대한 관심도 동반 상승하여, 특정 품목 중심으로 판매가 발생하고 있습니다."
25,pet-supplies,반려동물 용품,Pet Supplies,blue,-3,2,40,"디자인과 아이디어가 돋보이는 한국의 반려동물 의류, 장난감, 미용용품 등이 해외의 펫팸족(Pet+Family)에게 좋은 반응을 얻고 있습니다."
26,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,2,3,45,"한국 e스포츠 팀들의 국제적인 성공에 힘입어, 유명 팀의 유니폼, 게이밍 기어, 관련 굿즈들이 글로벌 팬덤을 중심으로 판매되고 있습니다."
27,home-decor,K-홈데코,Korean Home Decor,blue,-1,2,40,"미니멀하고 감성적인 디자인의 한국 홈데코 소품들이 SNS를 통해 알려지면서, 해외 소비자들의 관심이 증가하고 있습니다."
