cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
k-beauty,1,조선미녀 맑은쌀 선크림 SPF50+ PA++++,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++,조선미녀,18.5,7800,45,80,29595,korean sunscreen;beauty of joseon;rice sunscreen,5,umma-io;cosmeticwholesalemarket-com;k-beautyhub-com
k-beauty,2,코스알엑스 어드밴스드 스네일 96 뮤신 파워 에센스,COSRX Advanced Snail 96 Mucin Power Essence,코스알엑스,21,9200,48,150,177642,cosrx;snail mucin;korean essence,4,domeggook-com;ownerclan-com;cosmeticstory-co-kr
k-beauty,3,라네즈 립 슬리핑 마스크,LANEIGE Lip Sleeping Mask,라네즈,24,11500,40,90,180357,laneige;lip mask;korean lip care,2,umma-io;beautydome-co-kr;k-beautykorea-com
k-beauty,4,아누아 어성초 77% 수딩 토너,Anua Heartleaf 77% Soothing Toner,아누아,22.5,10500,43,300,31772,anua;heartleaf toner;korean toner,7,domeggook-com;ownerclan-com;shopme365-com
k-beauty,5,메디힐 티트리 에센셜 마스크,Mediheal Teatree Essential Mask,메디힐,19.99,8000,50,350,177643,mediheal;sheet mask;korean mask pack,1,cosmeticwholesalemarket-com;dometopia-com;k-beautyhub-com
k-beauty,6,스킨1004 마다가스카르 센텔라 앰플,SKIN1004 Madagascar Centella Ampoule,스킨1004,19.8,8900,46,140,177642,skin1004;centella;korean ampoule,6,umma-io;ownerclan-com;cosmeticstory-co-kr
k-beauty,7,닥터자르트 시카페어 크림,Dr.Jart+ Cicapair Cream,닥터자르트,35,18000,38,110,31759,dr jart;cicapair;korean moisturizer,-1,cosmeticwholesalemarket-com;beautydome-co-kr;shopme365-com
k-beauty,8,달바 화이트 트러플 퍼스트 스프레이 세럼,d'Alba White Truffle First Spray Serum,달바,29.5,14000,42,180,177642,dalba;mist serum;korean serum,8,domeggook-com;ownerclan-com;k-beautykorea-com
k-beauty,9,롬앤 쥬시 래스팅 틴트,Rom&nd Juicy Lasting Tint,롬앤,12.9,5500,45,50,31787,romand;lip tint;korean makeup,3,umma-io;dometopia-com;cosmeticstory-co-kr
k-beauty,10,클리오 킬커버 더뉴 파운웨어 쿠션,Clio Kill Cover The New Founwear Cushion,클리오,28,13500,41,120,261982,clio;cushion foundation;korean cushion,2,ownerclan-com;cosmeticwholesalemarket-com;shopme365-com
k-beauty,11,이니스프리 그린티 씨드 히알루론산 세럼,Innisfree Green Tea Seed Hyaluronic Serum,이니스프리,25,12000,44,130,177642,innisfree;green tea serum;hyaluronic acid,0,domeggook-com;beautydome-co-kr;k-beautyhub-com
k-beauty,12,설화수 윤조에센스,Sulwhasoo First Care Activating Serum,설화수,75,45000,25,200,177642,sulwhasoo;hanbang;anti-aging serum,-2,umma-io;cosmeticwholesalemarket-com;k-beautykorea-com
k-beauty,13,메디힐 콜라겐 채움 패드,Mediheal Collagen Ampoule Pad,메디힐,23.5,11000,47,250,31772,mediheal;toner pad;collagen pad,9,ownerclan-com;dometopia-com;shopme365-com
