rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,"BTS 등 주요 그룹의 월드투어 및 콘서트 시즌이 다가오면서 관련 굿즈, 특히 응원봉과 포토카드 판매량이 급증하고 있습니다. 희소성과 소장 가치를 중시하는 팬덤 문화가 판매를 견인하고 있습니다."
2,trading-cards,수집용 트레이딩 카드,Trading Cards,red,1,5,45,"포켓몬, 유희왕 등 한국 독점 프로모션 카드가 해외 수집가들 사이에서 높은 인기를 구가하고 있습니다. 특정 이벤트 한정판 카드는 높은 리셀가를 형성하며 시장을 주도합니다."
3,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,-1,4,55,"혁신적인 성분과 합리적인 가격을 바탕으로 K-뷰티 스킨케어는 꾸준히 강세를 보이고 있습니다. 특히 레티놀, 콜라겐 등 기능성 안티에이징 제품군이 인기를 끌고 있습니다."
4,auto-parts,자동차 부품,Auto Parts,red,0,4,40,이커머스를 통한 자동차 부품 구매가 활성화되면서 한국산 부품의 판매가 꾸준히 증가하고 있습니다. 특히 DIY 수리 및 차량 커스터마이징에 대한 관심 증가가 주요 동력입니다.
5,k-fashion,K-패션/리셀,K-Fashion & Resell,red,2,5,30,중고 명품을 포함한 리커머스 시장이 패션 카테고리의 성장을 견인하고 있습니다. 한국 셀러들의 여성 및 남성 의류/액세서리 카테고리는 전체 매출 순위에서 상위권을 차지하고 있습니다.
6,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,12,4,40,"한국 캐릭터 상품인 티니핑, 핑크퐁 등이 라부부의 뒤를 이어 상위 판매 목록에 오르는 등 강세를 보이고 있습니다. 한정판 피규어와 아트토이에 대한 수집가들의 수요가 높습니다."
7,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,17,3,35,"신발, 지갑, 모자 등 스포츠웨어를 포함한 남성 패션 잡화가 꾸준한 판매량을 보이며 상위권에 위치하고 있습니다. K-브랜드의 인지도 상승이 긍정적인 영향을 미치고 있습니다."
8,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,0,4,60,"콜라겐, 홍삼, 다이어트 보조제 등 한국산 건강기능식품의 인기가 높습니다. 특히 K-뷰티와 연계하여 피부 건강을 위한 이너뷰티 제품 수요가 꾸준합니다."
9,drones,드론/액세서리,Drones & Accessories,blue,0,3,25,개인 영상 촬영 및 취미용 드론 시장의 확대에 힘입어 드론 및 관련 액세서리가 높은 판매 순위를 기록했습니다.
10,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,blue,-5,4,50,"쿠션 파운데이션, 틴트 등 K-뷰티의 대표 색조 제품들이 꾸준한 인기를 얻고 있습니다. 자연스러운 메이크업 트렌드에 맞춰 베이스 제품과 립 제품의 수요가 높습니다."
11,character-goods,캐릭터 굿즈,Character Goods,blue,2,3,38,"카카오프렌즈, 라인프렌즈 등 인기 캐릭터를 활용한 문구, 인형, 생활용품 등이 꾸준히 판매되고 있습니다. 새로운 캐릭터와의 콜라보레이션 상품이 주목받고 있습니다."
12,k-food,K-푸드/스낵,K-Food & Snacks,blue,-1,4,45,"라면, 과자, 김 등 가공식품과 간편식이 해외 소비자들에게 인기가 많습니다. 특히 할랄 인증을 받은 한국 식품의 수요가 증가하고 있습니다."
13,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,-7,5,20,"고성능 메모리, SSD, 그래픽카드 등 한국산 컴퓨터 부품은 글로벌 시장에서 높은 경쟁력을 유지하고 있습니다. e스포츠와 고사양 게임의 인기가 수요를 뒷받침합니다."
14,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,1,3,48,K-뷰티 카테고리 내에서 헤어케어 제품이 눈에 띄는 성과를 보이고 있습니다. 탈모 완화 기능성 샴푸와 손상모 케어용 트리트먼트 제품이 인기를 끌고 있습니다.
15,smartphone-acc,스마트폰 액세서리,Smartphone Accessories,blue,-1,4,50,"독특한 디자인의 케이스, 그립톡, 보호필름 등 한국산 스마트폰 액세서리는 K-POP 및 캐릭터 디자인을 접목하여 높은 인기를 얻고 있습니다."
16,golf-gear,골프 용품,Golf Equipment,blue,3,3,30,"한국 골프웨어의 세련된 디자인과 기능성이 해외 골퍼들에게 어필하고 있습니다. 골프공, 거리측정기 등 용품도 꾸준한 판매를 보입니다."
17,fishing-gear,낚시 용품,Fishing Equipment,blue,9,2,35,"고품질의 한국산 낚싯대와 릴, 인조 미끼 등이 전문 낚시인들 사이에서 입소문을 타며 판매가 증가하고 있습니다."
18,k-stationery,K-문구/다꾸,K-Stationery & Diary Deco,blue,-1,3,55,"아기자기한 디자인의 스티커, 마스킹테이프, 다이어리 등 다이어리 꾸미기(다꾸) 용품이 10-20대 소비자층을 중심으로 꾸준한 팬덤을 형성하고 있습니다."
19,webtoon-goods,웹툰 굿즈,Webtoon Goods,blue,1,3,40,"글로벌 플랫폼을 통해 인기를 얻은 한국 웹툰의 단행본, 아크릴 스탠드, 키링 등 관련 굿즈에 대한 해외 팬들의 수요가 증가하는 추세입니다."
20,camping-gear,캠핑/아웃도어,Camping & Outdoor,blue,1,3,33,"실용성과 디자인을 겸비한 한국 캠핑 브랜드의 텐트, 의자, 테이블 등이 해외 캠핑족들에게 좋은 반응을 얻고 있습니다."
21,pet-supplies,반려동물 용품,Pet Supplies,blue,4,3,42,"디자인이 예쁜 반려동물 의류, 기능성 장난감, 프리미엄 간식 등 한국의 반려동물 용품 시장이 성장하면서 해외 수출도 활발해지고 있습니다."
22,kdrama-goods,K-드라마 굿즈,K-Drama Goods,blue,1,2,38,"인기리에 방영된 K-드라마의 DVD/블루레이, 공식 OST 앨범, 대본집 등이 드라마 팬들을 중심으로 꾸준히 판매되고 있습니다."
23,auto-accessories,자동차 액세서리,Auto Accessories,blue,-7,4,45,"차량용 방향제, 대시보드 커버, 스마트폰 거치대 등 한국의 아이디어가 돋보이는 차량용 액세서리들이 인기를 끌고 있습니다."
24,kitchen-ware,K-주방용품,Korean Kitchenware,blue,-2,2,35,"돌솥, 뚝배기, 수저 세트 등 한식 조리 및 상차림과 관련된 한국 전통 주방용품에 대한 관심이 K-푸드 인기와 함께 증가하고 있습니다."
25,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,-13,3,40,"LED 마스크, 갈바닉 이온 마사지기 등 가정용 뷰티 디바이스 시장이 성장하면서, 기술력을 갖춘 한국 제품들이 주목받고 있습니다."
26,esports-merch,e스포츠 굿즈,E-Sports Merch,blue,2,3,30,"한국 e스포츠팀(T1, Gen.G 등)의 유니폼, 마우스패드, 피규어 등 공식 굿즈가 전 세계 팬들에게 꾸준히 판매되고 있습니다."
27,lego-blocks,조립 완구/레고,LEGO & Building Blocks,blue,-17,4,25,단종된 레고 시리즈나 한국에서만 구할 수 있는 한정판 제품들이 해외 레고 수집가들 사이에서 활발하게 거래되고 있습니다.
28,home-decor,K-홈데코,Korean Home Decor,blue,-1,2,40,"미니멀하고 감성적인 디자인의 한국 홈데코 소품(패브릭 포스터, 무드등, 인센스 홀더 등)이 SNS를 통해 인기를 얻으며 판매가 늘고 있습니다."
29,modern-hanbok,한복 모던,Modern Hanbok,blue,0,2,45,일상복으로 활용 가능한 생활 한복과 한복의 디자인 요소를 가미한 의류가 K-컬처에 관심이 많은 해외 소비자들에게 특별한 패션 아이템으로 인식되고 있습니다.
30,traditional-craft,전통 공예품,Traditional Craft,blue,0,1,65,"나전칠기 보석함, 한지 공예품, 도자기 등 한국의 미가 담긴 전통 공예품이 고가임에도 불구하고 한국 문화를 사랑하는 특정 고객층에게 꾸준히 판매됩니다."
