cat_slug,rank,name,name_en,brand,ebay_usd,krw,margin,weight_g,ebay_cat_id,seo_tags,change,source_slugs
kpop-goods,1,방탄소년단 포토카드 세트,BTS Photo Card Set,Weverse Shop,25.99,12000,54,80,18345,kpop;bts;photocard,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,2,블랙핑크 응원봉,BLACKPINK Light Stick,YG SELECT,65,30000,48,350,18345,blackpink;lightstick;kpop merch,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,3,스트레이 키즈 앨범 (미개봉),Stray Kids Album (Sealed),JYP SHOP,35.5,18000,45,250,18345,stray kids;kpop album;sealed,0,domeggook-com
kpop-goods,4,아이브 시즌 그리팅,IVE Season's Greetings,스타쉽샵,55,25000,50,400,18345,ive;seasons greetings;kpop,1,domeggook-com
kpop-goods,5,뉴진스 포토북,NewJeans Photobook,Weverse Shop,40,19000,52,300,18345,newjeans;photobook;kpop merch,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,6,에스파 미니 앨범,aespa Mini Album,SMTOWN &STORE,28,13000,53,200,18345,aespa;kpop album;sment,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,7,세븐틴 공식 응원봉,SEVENTEEN Official Light Stick,Weverse Shop,60,28000,49,380,18345,seventeen;lightstick;kpop,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,8,투모로우바이투게더 포토카드,TXT Photo Card,Weverse Shop,15,7000,53,50,18345,txt;photocard;kpop,0,domeggook-com;sellmoa-com;domewh-com
kpop-goods,9,NCT 앨범,NCT Album,SMTOWN &STORE,32,15000,53,280,18345,nct;kpop album;sment,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,10,레드벨벳 굿즈,Red Velvet Official Merch,SMTOWN &STORE,20,9000,55,150,18345,red velvet;kpop merch;sment,0,domeggook-com;dometopia-com;domema-com
kpop-goods,11,있지 앨범,ITZY Album,JYP SHOP,27,12500,53,230,18345,itzy;kpop album;jyp,0,domeggook-com;sellmoa-com;domewh-com
kpop-goods,12,몬스타엑스 포토카드,MONSTA X Photo Card,스타쉽샵,12,5500,54,40,18345,monsta x;photocard;kpop,0,domeggook-com;ownerclan-com;onchannel-co-kr
kpop-goods,13,트와이스 공식 굿즈,TWICE Official Merch,JYP SHOP,22,10000,55,180,18345,twice;kpop merch;jyp,0,domeggook-com;dometopia-com;domema-com
kpop-goods,14,더보이즈 앨범,THE BOYZ Album,IST 엔터테인먼트,30,14000,53,260,18345,the boyz;kpop album;ist,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,15,르세라핌 포토카드,LE SSERAFIM Photo Card,Weverse Shop,17,8000,53,60,18345,le sserafim;photocard;kpop,0,domeggook-com;ownerclan-com;domewh-com
kpop-goods,16,엔하이픈 앨범,ENHYPEN Album,Weverse Shop,33,15500,53,270,18345,enhypen;kpop album;belift lab,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,17,제이홉 솔로 앨범,J-Hope Solo Album,Weverse Shop,38,17000,55,290,18345,j-hope;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,18,지민 솔로 앨범,Jimin Solo Album,Weverse Shop,38,17000,55,290,18345,jimin;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,19,정국 솔로 앨범,Jungkook Solo Album,Weverse Shop,38,17000,55,290,18345,jungkook;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,20,뷔 솔로 앨범,V Solo Album,Weverse Shop,38,17000,55,290,18345,v;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,21,RM 솔로 앨범,RM Solo Album,Weverse Shop,38,17000,55,290,18345,rm;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,22,슈가 솔로 앨범,SUGA Solo Album,Weverse Shop,38,17000,55,290,18345,suga;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,23,진 솔로 앨범,Jin Solo Album,Weverse Shop,38,17000,55,290,18345,jin;bts solo;kpop album,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,24,K-POP 아이돌 포스터,K-POP Idol Poster,케이타운포유 (Ktown4u),10,4500,55,100,18345,kpop poster;idol merch;official,0,domeggook-com;sellmoa-com;domema-com
kpop-goods,25,K-POP 아이돌 키링,K-POP Idol Keychain,위드뮤 (WITHMUU),15,7000,53,70,18345,kpop keychain;idol merch;cute,0,domeggook-com;ownerclan-com;dometopia-com
kpop-goods,26,K-POP 아이돌 스티커 세트,K-POP Idol Sticker Set,메이크스타 (Makestar),8,3500,56,30,18345,kpop sticker;idol deco;fan merch,0,domeggook-com;sellmoa-com;onchannel-co-kr
kpop-goods,27,K-POP 아이돌 뱃지,K-POP Idol Badge,애플뮤직 (Apple Music),9,4000,55,40,18345,kpop badge;idol pin;collector,0,domeggook-com;ownerclan-com;domema-com
kpop-goods,28,K-POP 아이돌 슬로건,K-POP Idol Slogan,사운드웨이브 (Soundwave),20,9000,55,120,18345,kpop slogan;fan support;concert,0,domeggook-com;sellmoa-com;domewh-com
