rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,kpop-goods,K-POP 굿즈/포토카드,K-POP Goods & Photocards,red,0,5,35,"글로벌 아이돌 그룹의 컴백과 한정판 굿즈 출시로 판매량이 급증하며 1위를 유지했습니다. 특히 팝업 스토어, 팬미팅 등 한국에서만 구할 수 있는 상품에 대한 수요가 높습니다."
2,k-beauty-skincare,K-뷰티 (스킨케어),K-Beauty Skincare,red,2,5,55,"K-뷰티 스킨케어 제품은 전 세계적으로 높은 성장세를 보이고 있으며, 특히 일본과 동남아시아에서 강력한 판매를 기록하고 있습니다. PDRN, 콜라겐 등 혁신적인 성분을 활용한 안티에이징 제품이 인기를 끌고 있습니다."
3,auto-parts,자동차 부품,Auto Parts,red,-1,4,45,"현대, 기아 등 한국 자동차의 글로벌 판매 호조에 힘입어 관련 부품 수요가 꾸준히 증가하고 있습니다. 특히 미국 시장을 중심으로 순정 OEM 부품 판매가 활발합니다."
4,trading-cards,수집용 트레이딩 카드,Trading Cards,red,1,4,40,"KBO, 유희왕, 포켓몬 등 한국어판 트레이딩 카드의 희소성이 부각되며 수집가들 사이에서 높은 인기를 얻고 있습니다. 특히 2026년 월드컵 관련 카드와 새로운 게임 IP 기반 카드가 주목받고 있습니다."
5,k-beauty-makeup,K-뷰티 (색조),K-Beauty Makeup,red,7,5,50,"립, 아이섀도우 등 K-뷰티 색조 제품이 일본 시장에서 특히 강세를 보이고 있습니다. 지속력과 다용도 활용성을 갖춘 제품들이 인기를 견인하고 있습니다."
6,drones,드론/액세서리,Drones & Accessories,blue,-3,3,30,개인 영상 촬영 및 취미용 드론 시장의 확대로 꾸준한 판매량을 기록하고 있습니다. eBay 내 한국 셀러의 최고 매출 카테고리 중 하나로 자리매김했습니다.
7,k-fashion,K-패션/리셀,K-Fashion & Resell,blue,-1,4,40,젠틀몬스터 등 국내 컨템포러리 브랜드가 글로벌 시장에서 좋은 반응을 얻으며 판매가 증가하고 있습니다. 중고 의류 거래도 활발하게 이루어지고 있습니다.
8,character-goods,캐릭터 굿즈,Character Goods,blue,2,3,45,"K-POP 아이돌 캐릭터 상품 외에도 티니핑, 핑크퐁 등 한국 고유 캐릭터 상품들이 해외에서 인기를 끌고 있습니다."
9,mens-fashion,남성 패션 잡화,Men's Fashion Accessories,blue,-1,3,38,"스포츠웨어 브랜드의 신발, 지갑, 모자 등 남성 패션 잡화가 꾸준히 판매 상위권을 유지하고 있습니다."
10,k-beauty-devices,K-뷰티 디바이스,K-Beauty Devices,blue,-3,4,60,집에서 손쉽게 피부를 관리할 수 있는 홈뷰티 디바이스가 일본 시장에서 폭발적인 성장세를 보이며 차세대 성장 동력으로 주목받고 있습니다.
11,inner-beauty,이너뷰티/건강기능식품,Inner Beauty & Supplements,blue,5,3,65,콜라겐 젤리 스틱 등 섭취가 간편한 이너뷰티 제품이 스킨케어와 시너지를 내며 인기를 얻고 있습니다. 특히 일본 시장에서 수요가 증가하는 추세입니다.
12,k-beauty-haircare,K-뷰티 (헤어케어),K-Beauty Haircare,blue,3,4,50,"탈모 샴푸, 두피 토닉 등 기능성 헤어케어 제품들이 좋은 반응을 얻고 있습니다. K-뷰티의 영역이 스킨케어에서 헤어케어로 확장되는 추세입니다."
13,computer-parts,컴퓨터 부품/주변기기,Computer Parts & Peripherals,blue,0,4,25,"원격 근무, 학생, 게이머들의 수요에 힘입어 컴퓨터 및 관련 부품 카테고리가 꾸준한 판매를 보이고 있습니다."
14,figures-collectibles,피규어/수집용 완구,Figures & Collectible Toys,blue,3,3,48,전 세계적으로 팬덤 기반의 수집품 소비가 확대되면서 피규어 및 수집용 완구 카테고리가 성장하고 있습니다.
